Loaded 1275 data points from file
Min index:  68
[trace] 60 44 44
[trace] 61 44 39
[trace] 62 44 39
[trace] 63 44 41
[trace] 64 44 41
[trace] 65 44 42
[trace] 66 44 36
[trace] 67 57 37
[trace] 68 74 44
[trace] 69 74 37
[trace] 70 74 42
[trace] 71 74 38
[trace] 72 74 47
[trace] 73 74 38
[trace] 74 74 36
[trace] 75 74 43
[trace] 76 74 48
[trace] 77 74 39
[trace] 78 74 34
[trace] 79 74 36
[trace] 80 74 39
[trace] 81 74 43
[trace] 82 74 40
[trace] 83 74 39
[trace] 84 74 39
[trace] 85 74 39
[trace] 86 74 37
[trace] 87 74 40
[trace] 88 74 37
[trace] 89 74 37
[trace] 90 74 43
[trace] 91 74 36
[trace] 92 74 35
[trace] 93 74 38
[trace] 94 74 43
[trace] 95 74 33
[trace] 96 74 36
[trace] 97 74 34
[trace] 98 74 37
[trace] 99 74 37
[trace] 100 74 38
[trace] 101 74 41
[trace] 102 74 34
[trace] 103 74 43
[trace] 104 74 39
[trace] 105 74 39
[trace] 106 74 37
[trace] 107 74 38
[trace] 108 74 37
[trace] 109 74 43
[trace] 110 74 45
[trace] 111 74 38
[trace] 112 74 41
[trace] 113 74 44
[trace] 114 74 37
[trace] 115 74 42
[trace] 116 74 38
[trace] 117 57 37
[trace] 118 57 36
[trace] 119 57 44
[trace] 120 57 36
[trace] 121 57 41
[trace] 122 69 44
[trace] 123 69 35
[trace] 124 69 38
[trace] 125 69 35
[trace] 126 69 57
[trace] 127 69 74
[trace] 128 69 46
[trace] 129 71 44
[trace] 130 74 48
[trace] 131 74 39
[trace] 132 74 36
[trace] 133 74 39
[trace] 134 74 37
[trace] 135 74 42
[trace] 136 74 40
[trace] 137 74 43
[trace] 138 74 51
[trace] 139 74 43
[trace] 140 74 38
[trace] 141 74 38
[trace] 142 74 38
[trace] 143 74 40
[trace] 144 74 40
[trace] 145 74 41
[trace] 146 74 45
[trace] 147 74 37
[trace] 148 74 35
[trace] 149 74 36
[trace] 150 74 50
[trace] 151 73 37
[trace] 152 73 42
[trace] 153 73 41
[trace] 154 73 45
[trace] 155 73 38
[trace] 156 73 38
[trace] 157 73 42
[trace] 158 73 39
[trace] 159 73 38
[trace] 160 73 41
[trace] 161 73 40
[trace] 162 73 44
[trace] 163 73 43
[trace] 164 73 36
[trace] 165 73 43
[trace] 166 73 39
[trace] 167 73 42
[trace] 168 73 34
[trace] 169 73 39
[trace] 170 73 37
[trace] 171 73 37
[trace] 172 73 39
[trace] 173 73 38
[trace] 174 73 37
[trace] 175 73 46
[trace] 176 73 49
[trace] 177 74 39
[trace] 178 74 41
[trace] 179 74 39
[trace] 180 74 41
[trace] 181 74 69
[trace] 182 73 38
[trace] 183 73 40
[trace] 184 73 38
[trace] 185 73 38
[trace] 186 73 38
[trace] 187 73 38
[trace] 188 73 71
[trace] 189 73 83
[trace] 190 73 39
[trace] 191 73 73
[trace] 192 73 38
[trace] 193 73 37
[trace] 194 73 37
[trace] 195 73 40
[trace] 196 73 37
[trace] 197 73 38
[trace] 198 73 45
[trace] 199 73 34
[trace] 200 73 41
[trace] 201 73 34
[trace] 202 73 37
[trace] 203 73 40
[trace] 204 73 36
[trace] 205 73 41
[trace] 206 73 37
[trace] 207 73 39
[trace] 208 73 41
[trace] 209 73 36
[trace] 210 73 40
[trace] 211 71 38
[trace] 212 71 46
[trace] 213 71 40
[trace] 214 71 38
[trace] 215 71 37
[trace] 216 71 46
[trace] 217 71 46
[trace] 218 71 32
[trace] 219 71 38
[trace] 220 71 40
[trace] 221 71 35
[trace] 222 71 34
[trace] 223 71 35
[trace] 224 71 48
[trace] 225 71 37
[trace] 226 71 48
[trace] 227 71 38
[trace] 228 71 40
[trace] 229 71 46
[trace] 230 71 39
[trace] 231 71 40
[trace] 232 71 43
[trace] 233 71 41
[trace] 234 71 37
[trace] 235 71 37
[trace] 236 71 79
[trace] 237 71 37
[trace] 238 71 42
[trace] 239 69 36
[trace] 240 69 42
[trace] 241 69 55
[trace] 242 69 36
[trace] 243 69 37
[trace] 244 69 39
[trace] 245 69 41
[trace] 246 69 41
[trace] 247 69 36
[trace] 248 69 36
[trace] 249 69 35
[trace] 250 69 69
[trace] 251 69 42
[trace] 252 69 41
[trace] 253 69 37
[trace] 254 69 37
[trace] 255 71 38
[trace] 256 71 42
[trace] 257 71 37
[trace] 258 71 36
[trace] 259 71 38
[trace] 260 71 33
[trace] 261 71 36
[trace] 262 71 39
[trace] 263 71 34
[trace] 264 71 38
[trace] 265 71 51
[trace] 266 69 35
[trace] 267 69 36
[trace] 268 69 48
[trace] 269 69 34
[trace] 270 69 49
[trace] 271 69 42
[trace] 272 69 42
[trace] 273 69 40
[trace] 274 69 39
[trace] 275 69 35
[trace] 276 69 41
[trace] 277 69 40
[trace] 278 69 34
[trace] 279 69 40
[trace] 280 69 38
[trace] 281 69 37
[trace] 282 69 34
[trace] 283 69 36
[trace] 284 69 41
[trace] 285 69 38
[trace] 286 69 38
[trace] 287 69 38
[trace] 288 69 35
[trace] 289 69 34
[trace] 290 69 40
[trace] 291 69 36
[trace] 292 69 35
[trace] 293 69 35
[trace] 294 69 36
[trace] 295 69 46
[trace] 296 69 35
[trace] 297 69 41
[trace] 298 69 38
[trace] 299 69 37
[trace] 300 69 41
[trace] 301 69 38
[trace] 302 69 36
[trace] 303 69 38
[trace] 304 69 37
[trace] 305 69 40
[trace] 306 69 35
[trace] 307 69 35
[trace] 308 69 48
[trace] 309 69 36
[trace] 310 69 44
[trace] 311 69 38
[trace] 312 69 39
[trace] 313 69 36
[trace] 314 69 87
[trace] 315 69 36
[trace] 316 69 39
[trace] 317 69 43
[trace] 318 69 41
[trace] 319 69 40
[trace] 320 69 37
[trace] 321 69 35
[trace] 322 69 38
[trace] 323 71 35
[trace] 324 71 35
[trace] 325 71 35
[trace] 326 71 47
[trace] 327 71 39
[trace] 328 71 37
[trace] 329 71 37
[trace] 330 71 46
[trace] 331 71 53
[trace] 332 71 41
[trace] 333 71 37
[trace] 334 71 36
[trace] 335 71 34
[trace] 336 71 39
[trace] 337 71 45
[trace] 338 71 41
[trace] 339 71 53
[trace] 340 71 44
[trace] 341 71 35
[trace] 342 71 35
[trace] 343 71 42
[trace] 344 69 39
[trace] 345 69 44
[trace] 346 69 43
[trace] 347 69 35
[trace] 348 69 37
[trace] 349 71 35
[trace] 350 71 34
[trace] 351 71 36
[trace] 352 71 37
[trace] 353 71 33
[trace] 354 71 41
[trace] 355 71 36
[trace] 356 71 34
[trace] 357 71 36
[trace] 358 71 38
[trace] 359 71 37
[trace] 360 71 37
[trace] 361 71 36
[trace] 362 71 33
[trace] 363 71 34
[trace] 364 71 36
[trace] 365 71 41
[trace] 366 71 36
[trace] 367 71 36
[trace] 368 71 41
[trace] 369 69 57
[trace] 370 69 47
[trace] 371 69 35
[trace] 372 69 38
[trace] 373 69 218
[trace] 374 69 40
[trace] 375 69 33
[trace] 376 69 43
[trace] 377 69 35
[trace] 378 69 35
[trace] 379 69 38
[trace] 380 69 94
[trace] 381 69 37
[trace] 382 69 72
[trace] 383 69 40
[trace] 384 69 37
[trace] 385 69 38
[trace] 386 69 39
[trace] 387 69 35
[trace] 388 69 44
[trace] 389 71 34
[trace] 390 71 36
[trace] 391 71 41
[trace] 392 71 46
[trace] 393 71 35
[trace] 394 69 44
[trace] 395 69 40
[trace] 396 69 43
[trace] 397 69 37
[trace] 398 69 35
[trace] 399 69 36
[trace] 400 69 38
[trace] 401 69 38
[trace] 402 69 32
[trace] 403 69 35
[trace] 404 69 38
[trace] 405 69 41
[trace] 406 69 42
[trace] 407 69 41
[trace] 408 69 75
[trace] 409 69 37
[trace] 410 71 37
[trace] 411 71 35
[trace] 412 71 42
[trace] 413 71 35
[trace] 414 71 35
[trace] 415 71 37
[trace] 416 71 33
[trace] 417 71 34
[trace] 418 71 34
[trace] 419 69 35
[trace] 420 69 39
[trace] 421 69 39
[trace] 422 69 37
[trace] 423 69 34
[trace] 424 69 37
[trace] 425 69 39
[trace] 426 69 36
[trace] 427 69 37
[trace] 428 69 36
[trace] 429 69 39
[trace] 430 69 35
[trace] 431 69 44
[trace] 432 69 37
[trace] 433 69 38
[trace] 434 69 35
[trace] 435 69 43
[trace] 436 69 42
[trace] 437 69 43
[trace] 438 69 33
[trace] 439 69 39
[trace] 440 69 38
[trace] 441 69 33
[trace] 442 69 36
[trace] 443 69 39
[trace] 444 69 36
[trace] 445 69 41
[trace] 446 69 34
[trace] 447 69 37
[trace] 448 69 73
[trace] 449 69 39
[trace] 450 69 36
[trace] 451 69 43
[trace] 452 69 44
[trace] 453 69 44
[trace] 454 69 38
[trace] 455 69 43
[trace] 456 69 36
[trace] 457 69 40
[trace] 458 69 39
[trace] 459 69 35
[trace] 460 69 36
[trace] 461 69 36
[trace] 462 69 38
[trace] 463 69 45
[trace] 464 69 37
[trace] 465 69 38
[trace] 466 69 43
[trace] 467 69 41
[trace] 468 69 38
[trace] 469 69 106
[trace] 470 69 38
[trace] 471 69 37
[trace] 472 69 45
[trace] 473 69 35
[trace] 474 69 51
[trace] 475 69 36
[trace] 476 69 36
[trace] 477 69 36
[trace] 478 69 36
[trace] 479 69 35
[trace] 480 69 35
[trace] 481 69 36
[trace] 482 69 52
[trace] 483 69 34
[trace] 484 69 38
[trace] 485 69 38
[trace] 486 69 35
[trace] 487 69 36
[trace] 488 69 38
[trace] 489 69 35
[trace] 490 69 36
[trace] 491 69 37
[trace] 492 57 40
[trace] 493 57 53
[trace] 494 57 37
[trace] 495 57 45
