Loaded 1464 data points from file
Min index:  68
[trace] 60 17 17
[trace] 61 17 18
[trace] 62 18 18
[trace] 63 18 17
[trace] 64 18 15
[trace] 65 18 18
[trace] 66 18 20
[trace] 67 20 17
[trace] 68 20 16
[trace] 69 20 18
[trace] 70 20 17
[trace] 71 20 21
[trace] 72 21 16
[trace] 73 21 18
[trace] 74 21 18
[trace] 75 21 18
[trace] 76 21 19
[trace] 77 21 17
[trace] 78 21 20
[trace] 79 21 16
[trace] 80 21 17
[trace] 81 21 18
[trace] 82 21 25
[trace] 83 25 19
[trace] 84 25 20
[trace] 85 25 21
[trace] 86 25 18
[trace] 87 25 20
[trace] 88 25 16
[trace] 89 25 20
[trace] 90 25 19
[trace] 91 25 17
[trace] 92 25 19
[trace] 93 25 19
[trace] 94 25 18
[trace] 95 25 22
[trace] 96 25 18
[trace] 97 25 17
[trace] 98 25 15
[trace] 99 25 20
[trace] 100 25 20
[trace] 101 25 24
[trace] 102 25 17
[trace] 103 25 15
[trace] 104 25 22
[trace] 105 25 18
[trace] 106 25 16
[trace] 107 25 19
[trace] 108 25 17
[trace] 109 25 17
[trace] 110 25 21
[trace] 111 25 18
[trace] 112 25 17
[trace] 113 25 18
[trace] 114 25 21
[trace] 115 25 19
[trace] 116 25 17
[trace] 117 24 26
[trace] 118 25 18
[trace] 119 25 16
[trace] 120 25 20
[trace] 121 25 19
[trace] 122 25 18
[trace] 123 25 18
[trace] 124 25 18
[trace] 125 25 17
[trace] 126 25 17
[trace] 127 25 22
[trace] 128 25 24
[trace] 129 25 24
[trace] 130 25 51
[trace] 131 26 17
[trace] 132 26 22
[trace] 133 26 16
[trace] 134 26 17
[trace] 135 26 19
[trace] 136 26 18
[trace] 137 26 16
[trace] 138 26 18
[trace] 139 26 24
[trace] 140 26 18
[trace] 141 26 18
[trace] 142 26 21
[trace] 143 26 18
[trace] 144 26 22
[trace] 145 26 17
[trace] 146 26 16
[trace] 147 26 23
[trace] 148 26 22
[trace] 149 26 21
[trace] 150 26 22
[trace] 151 25 16
[trace] 152 25 16
[trace] 153 25 23
[trace] 154 25 17
[trace] 155 25 19
[trace] 156 25 18
[trace] 157 25 16
[trace] 158 25 16
[trace] 159 25 18
[trace] 160 25 18
[trace] 161 25 19
[trace] 162 25 20
[trace] 163 25 18
[trace] 164 25 16
[trace] 165 25 19
[trace] 166 25 17
[trace] 167 25 17
[trace] 168 25 21
[trace] 169 25 17
[trace] 170 25 24
[trace] 171 25 19
[trace] 172 25 22
[trace] 173 25 18
[trace] 174 25 20
[trace] 175 25 30
[trace] 176 26 19
[trace] 177 26 31
[trace] 178 30 19
[trace] 179 30 16
[trace] 180 30 17
[trace] 181 30 16
[trace] 182 26 20
[trace] 183 26 18
[trace] 184 26 21
[trace] 185 26 21
[trace] 186 26 19
[trace] 187 26 18
[trace] 188 26 21
[trace] 189 26 18
[trace] 190 26 17
[trace] 191 26 18
[trace] 192 26 20
[trace] 193 26 16
[trace] 194 26 20
[trace] 195 26 17
[trace] 196 26 19
[trace] 197 26 16
[trace] 198 26 23
[trace] 199 26 16
[trace] 200 26 16
[trace] 201 26 19
[trace] 202 26 16
[trace] 203 26 21
[trace] 204 26 17
[trace] 205 26 16
[trace] 206 26 29
[trace] 207 29 22
[trace] 208 29 17
[trace] 209 29 17
[trace] 210 29 19
[trace] 211 26 16
[trace] 212 26 17
[trace] 213 26 22
[trace] 214 26 20
[trace] 215 26 21
[trace] 216 26 19
[trace] 217 26 21
[trace] 218 26 19
[trace] 219 26 18
[trace] 220 26 16
[trace] 221 26 16
[trace] 222 26 22
[trace] 223 26 17
[trace] 224 26 19
[trace] 225 26 18
[trace] 226 26 20
[trace] 227 26 19
[trace] 228 26 20
[trace] 229 26 19
[trace] 230 26 29
[trace] 231 29 18
[trace] 232 29 17
[trace] 233 29 17
[trace] 234 29 20
[trace] 235 29 33
[trace] 236 29 25
[trace] 237 29 17
