/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/bin/java -Didea.launcher.port=7537 "-Didea.launcher.bin.path=/Applications/IntelliJ IDEA 14.app/Contents/bin" -Dfile.encoding=UTF-8 -classpath "/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-doclet.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/htmlconverter.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/target/classes:/Users/hiranya/.m2/repository/javax/mail/mail/1.4.3/mail-1.4.3.jar:/Users/hiranya/.m2/repository/javax/activation/activation/1.1.1/activation-1.1.1.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpclient/4.3.5/httpclient-4.3.5.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpcore/4.3.2/httpcore-4.3.2.jar:/Users/hiranya/.m2/repository/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar:/Users/hiranya/.m2/repository/commons-codec/commons-codec/1.6/commons-codec-1.6.jar:/Users/hiranya/.m2/repository/junit/junit/3.8/junit-3.8.jar:/Users/hiranya/.m2/repository/soot/soot/2.5.0/soot-2.5.0.jar:/Users/hiranya/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/hiranya/.m2/repository/org/json/json/20140107/json-20140107.jar:/Applications/IntelliJ IDEA 14.app/Contents/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain edu.ucsb.cs.eager.sa.kitty.KittySLAEvolutionAnalyzer -ccp /Users/hiranya/Projects/eager/sandbox/cs263/adabra/target/classes -c cs263project.cs263project.RoomRestApi -m getRoomsInCity -me 10 -s http://localhost:8081 -wp -q 0.95 -bf /Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/results/apps/exp32/getRoomsInCity.txt -ai
Warning: com.google.appengine.api.datastore.Entity is a phantom class!
Warning: javax.ws.rs.GET is a phantom class!
Warning: com.google.appengine.api.datastore.FetchOptions is a phantom class!
Warning: javax.ws.rs.POST is a phantom class!
Warning: com.google.appengine.api.datastore.Key is a phantom class!
Warning: com.google.appengine.api.memcache.ErrorHandlers is a phantom class!
Warning: com.google.gson.JsonSyntaxException is a phantom class!
Warning: com.google.appengine.api.taskqueue.QueueFactory is a phantom class!
Warning: com.google.appengine.api.datastore.PreparedQuery is a phantom class!
Warning: com.google.appengine.api.taskqueue.TaskHandle is a phantom class!
Warning: com.google.gson.Gson is a phantom class!
Warning: com.google.appengine.api.datastore.EntityNotFoundException is a phantom class!
Warning: com.google.appengine.api.memcache.MemcacheService is a phantom class!
Warning: com.google.appengine.api.memcache.MemcacheServiceFactory is a phantom class!
Warning: com.google.appengine.api.taskqueue.Queue is a phantom class!
Warning: javax.ws.rs.Produces is a phantom class!
Warning: com.google.appengine.api.memcache.LogAndContinueErrorHandler is a phantom class!
Warning: com.google.appengine.api.taskqueue.TaskOptions$Builder is a phantom class!
Warning: javax.ws.rs.core.Response is a phantom class!
Warning: com.google.appengine.api.datastore.KeyFactory$Builder is a phantom class!
Warning: javax.ws.rs.Path is a phantom class!
Warning: javax.ws.rs.PathParam is a phantom class!
Warning: com.google.appengine.api.datastore.FetchOptions$Builder is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreService is a phantom class!
Warning: com.google.appengine.api.memcache.ErrorHandler is a phantom class!
Warning: com.google.appengine.api.taskqueue.TaskOptions is a phantom class!
Warning: com.google.appengine.api.datastore.KeyFactory is a phantom class!
Warning: javax.ws.rs.core.Response$Status is a phantom class!
Warning: com.google.appengine.api.datastore.Query is a phantom class!
Warning: com.google.appengine.api.datastore.GeoPt is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreServiceFactory is a phantom class!
Warning: javax.ws.rs.Consumes is a phantom class!
Warning: javax.ws.rs.core.Response$ResponseBuilder is a phantom class!
Warning: java.dyn.InvokeDynamic is a phantom class!

[sla][offset] timestamp prediction timeToViolation(h)
[sla] 1 1424383921874    51 94.25   
[sla] 1 1424723221273    55 1.66    
[sla] 1 1424729221762   714 24.20   
[sla] 2 1424383981480    56 94.85   
[sla] 2 1424725441922  1717 25.25   
[sla] 3 1424384041828    56 94.83   
[sla] 3 1424725441922  1717 25.25   
[sla] 4 1424384101664    56 94.81   
[sla] 4 1424725441922  1717 25.25   
[sla] 5 1424384161546    56 94.80   
[sla] 5 1424725441922  1717 25.25   
[sla] 6 1424384221598    56 94.78   
[sla] 6 1424725441922  1717 25.25   
[sla] 7 1424384281067    56 94.76   
[sla] 7 1424725441922  1717 25.25   
[sla] 8 1424384341558    56 94.75   
[sla] 8 1424725441922  1717 25.25   
[sla] 9 1424384401093    56 94.73   
[sla] 9 1424725441922  1717 25.25   
[sla] 10 1424384461509    56 94.71   
[sla] 10 1424725441922  1717 25.25   
[sla] 11 1424384521376    56 94.70   
[sla] 11 1424725441922  1717 25.25   
[sla] 12 1424384582031    56 94.68   
[sla] 12 1424725441922  1717 25.25   
[sla] 13 1424384642028    56 94.66   
[sla] 13 1424725441922  1717 25.25   
[sla] 14 1424384701650    56 94.65   
[sla] 14 1424725441922  1717 25.25   
[sla] 15 1424384761073    56 94.63   
[sla] 15 1424725441922  1717 25.25   
[sla] 16 1424384821887    56 94.61   
[sla] 16 1424725441922  1717 25.25   
[sla] 17 1424384881698    56 94.60   
[sla] 17 1424725441922  1717 25.25   
[sla] 18 1424384941443    56 94.58   
[sla] 18 1424725441922  1717 25.25   
[sla] 19 1424385001821    56 94.56   
[sla] 19 1424725441922  1717 25.25   
[sla] 20 1424385061361    56 94.55   
[sla] 20 1424725441922  1717 25.25   
[sla] 21 1424385121775    56 94.53   
[sla] 21 1424725441922  1717 25.25   
[sla] 22 1424385181425    56 94.51   
[sla] 22 1424725441922  1717 25.25   
[sla] 23 1424385241139    56 94.50   
[sla] 23 1424725441922  1717 25.25   
[sla] 24 1424385301956    56 94.48   
[sla] 24 1424725441922  1717 25.25   
[sla] 25 1424385361382    56 94.46   
[sla] 25 1424725441922  1717 25.25   
[sla] 26 1424385421875    56 94.45   
[sla] 26 1424725441922  1717 25.25   
[sla] 27 1424385481390    56 94.43   
[sla] 27 1424725441922  1717 25.25   
[sla] 28 1424385541323    56 94.41   
[sla] 28 1424725441922  1717 25.25   
[sla] 29 1424385601091    56 94.40   
[sla] 29 1424725441922  1717 25.25   
[sla] 30 1424385661564    56 94.38   
[sla] 30 1424725441922  1717 25.25   
[sla] 31 1424385721061    56 94.36   
[sla] 31 1424725441922  1717 25.25   
[sla] 32 1424385781612    56 94.35   
[sla] 32 1424725441922  1717 25.25   
[sla] 33 1424385841237    56 94.33   
[sla] 33 1424725441922  1717 25.25   
[sla] 34 1424385901926    56 94.31   
[sla] 34 1424725441922  1717 25.25   
[sla] 35 1424385961713    56 94.30   
[sla] 35 1424725441922  1717 25.25   
[sla] 36 1424386021550    56 94.28   
[sla] 36 1424725441922  1717 25.25   
[sla] 37 1424386081416    56 94.26   
[sla] 37 1424725441922  1717 25.25   
[sla] 38 1424386141351    56 94.25   
[sla] 38 1424725441922  1717 25.25   
[sla] 39 1424386201799    56 94.23   
[sla] 39 1424725441922  1717 25.25   
[sla] 40 1424386261491    56 94.21   
[sla] 40 1424725441922  1717 25.25   
[sla] 41 1424386321315    56 94.20   
[sla] 41 1424725441922  1717 25.25   
[sla] 42 1424386381093    56 94.18   
[sla] 42 1424725441922  1717 25.25   
[sla] 43 1424386441885    56 94.16   
[sla] 43 1424725441922  1717 25.25   
[sla] 44 1424386501627    56 94.15   
[sla] 44 1424725441922  1717 25.25   
[sla] 45 1424386561102    56 94.13   
[sla] 45 1424725441922  1717 25.25   
[sla] 46 1424386621820    56 94.11   
[sla] 46 1424725441922  1717 25.25   
[sla] 47 1424386681635    56 94.10   
[sla] 47 1424725441922  1717 25.25   
[sla] 48 1424386741453    56 94.08   
[sla] 48 1424725441922  1717 25.25   
[sla] 49 1424386801317    56 94.06   
[sla] 49 1424725441922  1717 25.25   
[sla] 50 1424386861815    56 94.05   
[sla] 50 1424725441922  1717 25.25   
[sla] 51 1424386921365    56 94.03   
[sla] 51 1424725441922  1717 25.25   
[sla] 52 1424386981067    56 94.01   
[sla] 52 1424725441922  1717 25.25   
[sla] 53 1424387041872    56 94.00   
[sla] 53 1424725441922  1717 25.25   
[sla] 54 1424387101684    56 93.98   
[sla] 54 1424725441922  1717 25.25   
[sla] 55 1424387161572    56 93.96   
[sla] 55 1424725441922  1717 25.25   
[sla] 56 1424387221249    56 93.95   
[sla] 56 1424725441922  1717 25.25   
[sla] 57 1424387281656    56 93.93   
[sla] 57 1424725441922  1717 25.25   
[sla] 58 1424387341419    56 93.91   
[sla] 58 1424725441922  1717 25.25   
[sla] 59 1424387401332    56 93.90   
[sla] 59 1424725441922  1717 25.25   
[sla] 60 1424387461149    56 93.88   
[sla] 60 1424725441922  1717 25.25   
[sla] 61 1424387521962    56 93.86   
[sla] 61 1424725441922  1717 25.25   
[sla] 62 1424387581677    56 93.85   
[sla] 62 1424725441922  1717 25.25   
[sla] 63 1424387642031    56 93.83   
[sla] 63 1424725441922  1717 25.25   
[sla] 64 1424387701778    56 93.81   
[sla] 64 1424725441922  1717 25.25   
[sla] 65 1424387761644    56 93.80   
[sla] 65 1424725441922  1717 25.25   
[sla] 66 1424387821513    56 93.78   
[sla] 66 1424725441922  1717 25.25   
[sla] 67 1424387881292    56 93.76   
[sla] 67 1424725441922  1717 25.25   
[sla] 68 1424387941093    56 93.75   
[sla] 68 1424725441922  1717 25.25   
[sla] 69 1424388001539    56 93.73   
[sla] 69 1424725441922  1717 25.25   
[sla] 70 1424388061068    58 93.71   
[sla] 70 1424725441922  1717 25.25   
[sla] 71 1424388121838    58 93.70   
[sla] 71 1424725441922  1717 25.25   
[sla] 72 1424388181690    58 93.68   
[sla] 72 1424725441922  1717 25.25   
[sla] 73 1424388241488    58 93.66   
[sla] 73 1424725441922  1717 25.25   
[sla] 74 1424388301283    58 93.65   
[sla] 74 1424725441922  1717 25.25   
[sla] 75 1424388361691    58 93.63   
[sla] 75 1424725441922  1717 25.25   
[sla] 76 1424388421548    58 93.61   
[sla] 76 1424725441922  1717 25.25   
[sla] 77 1424388481336    58 93.60   
[sla] 77 1424725441922  1717 25.25   
[sla] 78 1424388541644    58 93.58   
[sla] 78 1424725441922  1717 25.25   
[sla] 79 1424388601531    58 93.56   
[sla] 79 1424725441922  1717 25.25   
[sla] 80 1424388661292    58 93.55   
[sla] 80 1424725441922  1717 25.25   
