/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/bin/java -Didea.launcher.port=7538 "-Didea.launcher.bin.path=/Applications/IntelliJ IDEA 14.app/Contents/bin" -Dfile.encoding=UTF-8 -classpath "/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-doclet.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/htmlconverter.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/target/classes:/Users/hiranya/.m2/repository/javax/mail/mail/1.4.3/mail-1.4.3.jar:/Users/hiranya/.m2/repository/javax/activation/activation/1.1.1/activation-1.1.1.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpclient/4.3.5/httpclient-4.3.5.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpcore/4.3.2/httpcore-4.3.2.jar:/Users/hiranya/.m2/repository/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar:/Users/hiranya/.m2/repository/commons-codec/commons-codec/1.6/commons-codec-1.6.jar:/Users/hiranya/.m2/repository/junit/junit/3.8/junit-3.8.jar:/Users/hiranya/.m2/repository/soot/soot/2.5.0/soot-2.5.0.jar:/Users/hiranya/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/hiranya/.m2/repository/org/json/json/20140107/json-20140107.jar:/Applications/IntelliJ IDEA 14.app/Contents/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain edu.ucsb.cs.eager.sa.kitty.KittySLAEvolutionAnalyzer -ccp /Users/hiranya/Projects/eager/sandbox/github/ServerHealth/ServerHealth/war/WEB-INF/classes -c mfi.serverhealth.ServerHealthInfoServlet -m doGet -me 10 -s http://localhost:8081 -wp -q 0.95 -bf /Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/results/apps/exp34/doGet.txt -ai
Warning: javax.servlet.http.HttpServlet is a phantom class!
Warning: com.google.appengine.api.datastore.Entity is a phantom class!
Warning: com.google.appengine.api.datastore.Key is a phantom class!
Warning: javax.servlet.http.HttpServletRequest is a phantom class!
Warning: com.google.appengine.api.datastore.EntityNotFoundException is a phantom class!
Warning: javax.servlet.ServletContext is a phantom class!
Warning: com.google.appengine.api.datastore.Blob is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreService is a phantom class!
Warning: com.google.appengine.api.datastore.KeyFactory is a phantom class!
Warning: javax.servlet.http.HttpServletResponse is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreServiceFactory is a phantom class!
Warning: java.dyn.InvokeDynamic is a phantom class!

[sla][offset] timestamp prediction timeToViolation(h) violationDelta
[sla] 1 1424406302461   108 137.89   
[sla] 2 1424406367690   108 137.87   
[sla] 3 1424406432338   108 44.90    d=513
[sla] 3 1424568114047    69 92.94    
[sla] 4 1424406496532   108 44.88    d=513
[sla] 4 1424568114047    69 92.94    
[sla] 5 1424406560113   108 44.87    d=513
[sla] 5 1424568114047    69 92.94    
[sla] 6 1424406623862   108 44.85    d=513
[sla] 6 1424568114047    69 92.94    
[sla] 7 1424406687605   108 44.83    d=513
[sla] 7 1424568114047    69 92.94    
[sla] 8 1424406750957   108 44.81    d=513
[sla] 8 1424568114047    69 92.94    
[sla] 9 1424406814347   108 44.80    d=513
[sla] 9 1424568114047    69 92.94    
[sla] 10 1424406878639   108 44.78    d=513
[sla] 10 1424568114047    69 92.94    
[sla] 11 1424406942372   108 44.76    d=513
[sla] 11 1424568114047    69 92.94    
[sla] 12 1424407006260   108 44.74    d=513
[sla] 12 1424568114047    69 92.94    
[sla] 13 1424407070117   108 44.72    d=513
[sla] 13 1424568114047    69 92.94    
[sla] 14 1424407133779   138 137.66   
[sla] 15 1424407197962   138 137.64   
[sla] 16 1424407261571   138 137.62   
[sla] 17 1424407325971   138 137.61   
[sla] 18 1424407390051   138 137.59   
[sla] 19 1424407454091   138 137.57   
[sla] 20 1424407518524   138 137.55   
[sla] 21 1424407582216   138 137.53   
[sla] 22 1424407646234   138 137.52   
[sla] 23 1424407710180   138 137.50   
[sla] 24 1424407774121   138 137.48   
[sla] 25 1424407838671   138 137.46   
[sla] 26 1424407903020   138 137.45   
[sla] 27 1424407967463   138 137.43   
[sla] 28 1424408032397   138 137.41   
[sla] 29 1424408097920   138 137.39   
[sla] 30 1424408162631   138 137.37   
[sla] 31 1424408227102   138 137.36   
[sla] 32 1424408291239   138 137.34   
[sla] 33 1424408355588   138 137.32   
[sla] 34 1424408419718   138 137.30   
[sla] 35 1424408484405   138 137.28   
[sla] 36 1424408549201   138 137.27   
[sla] 37 1424408613165   138 137.25   
[sla] 38 1424408676713   138 137.23   
[sla] 39 1424408741048   138 137.21   
[sla] 40 1424408805527   138 137.20   
[sla] 41 1424408869110   138 137.18   
[sla] 42 1424408932598   138 137.16   
[sla] 43 1424408996960   138 137.14   
[sla] 44 1424409060638   138 137.12   
[sla] 45 1424409124512   138 137.11   
[sla] 46 1424409188112   138 137.09   
[sla] 47 1424409251689   138 137.07   
[sla] 48 1424409315119   138 137.05   
[sla] 49 1424409378885   138 137.04   
[sla] 50 1424409442622   138 137.02   
[sla] 51 1424409506063   138 137.00   
[sla] 52 1424409570090   138 136.98   
[sla] 53 1424409633562   138 136.97   
[sla] 54 1424409697131   138 136.95   
[sla] 55 1424409762324   138 136.93   
[sla] 56 1424409827219   138 136.91   
[sla] 57 1424409891712   138 136.89   
[sla] 58 1424409956811   138 136.88   
[sla] 59 1424410038301   138 136.85   
[sla] 60 1424410103177   138 136.83   
[sla] 61 1424410171647   138 136.82   
[sla] 62 1424410236127   141 136.80   
[sla] 63 1424410300228   141 136.78   
[sla] 64 1424410365131   141 136.76   
[sla] 65 1424410430477   141 136.74   
[sla] 66 1424410494918   141 136.73   
[sla] 67 1424410558532   141 136.71   
[sla] 68 1424410622564   141 136.69   
[sla] 69 1424410686125   141 136.67   
[sla] 70 1424410749752   141 136.66   
[sla] 71 1424410813424   141 136.64   
[sla] 72 1424410877365   141 136.62   
[sla] 73 1424410941173   141 136.60   
[sla] 74 1424411005735   141 136.58   
[sla] 75 1424411069664   141 136.57   
[sla] 76 1424411133618   141 136.55   
[sla] 77 1424411197115   141 136.53   
[sla] 78 1424411261497   141 136.51   
[sla] 79 1424411325501   138 136.50   
[sla] 80 1424411389291   138 136.48   
[sla] 81 1424411452982   138 136.46   
[sla] 82 1424411516588   138 136.44   
[sla] 83 1424411580303   138 136.42   
[sla] 84 1424411643927   138 136.41   
[sla] 85 1424411708003   138 136.39   
[sla] 86 1424411772209   138 136.37   
[sla] 87 1424411835824   138 136.35   
[sla] 88 1424411899523   138 136.34   
[sla] 89 1424411963604   138 136.32   
[sla] 90 1424412027972   138 136.30   
[sla] 91 1424412091712   138 136.28   
[sla] 92 1424412155628   141 136.26   
[sla] 93 1424412220711   141 136.25   
[sla] 94 1424412285912   141 136.23   
[sla] 95 1424412350438   141 136.21   
[sla] 96 1424412415101   141 136.19   
[sla] 97 1424412479548   141 136.17   
[sla] 98 1424412544605   141 136.16   
[sla] 99 1424412608866   141 136.14   
[sla] 100 1424412673093   141 136.12   
[sla] 101 1424412737060   141 136.10   
[sla] 102 1424412801469   141 136.09   
[sla] 103 1424412865085   141 136.07   
[sla] 104 1424412928746   141 136.05   
[sla] 105 1424412992501   141 136.03   
[sla] 106 1424413055896   141 136.01   
[sla] 107 1424413119914   141 136.00   
[sla] 108 1424413183704   141 135.98   
[sla] 109 1424413248349   141 135.96   
[sla] 110 1424413312291   141 135.94   
[sla] 111 1424413376591   141 135.93   
[sla] 112 1424413441271   141 135.91   
[sla] 113 1424413505662   141 135.89   
[sla] 114 1424413570205   141 135.87   
[sla] 115 1424413634523   141 135.85   
[sla] 116 1424413698693   141 135.84   
[sla] 117 1424413762845   141 135.82   
[sla] 118 1424413826546   141 135.80   
[sla] 119 1424413890225   141 135.78   
