/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/bin/java -Didea.launcher.port=7537 "-Didea.launcher.bin.path=/Applications/IntelliJ IDEA 11.app/bin" -Dfile.encoding=UTF-8 -classpath "/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/deploy.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/dt.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/javaws.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/jce.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/jconsole.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/management-agent.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/plugin.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/sa-jdi.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Classes/charsets.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Classes/classes.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Classes/jsse.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Classes/ui.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/ext/apple_provider.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/ext/dnsns.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/ext/localedata.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/ext/sunjce_provider.jar:/System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home/lib/ext/sunpkcs11.jar:/Library/Java/Extensions/jpcap.jar:/Users/hiranya/Projects/eager/impl/eager-appscale/Eager/eager-static-analyzer/target/classes:/Users/hiranya/.m2/repository/javax/mail/mail/1.4.3/mail-1.4.3.jar:/Users/hiranya/.m2/repository/javax/activation/activation/1.1.1/activation-1.1.1.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpclient/4.3.5/httpclient-4.3.5.jar:/Users/hiranya/.m2/repository/org/apache/httpcomponents/httpcore/4.3.2/httpcore-4.3.2.jar:/Users/hiranya/.m2/repository/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar:/Users/hiranya/.m2/repository/commons-codec/commons-codec/1.6/commons-codec-1.6.jar:/Users/hiranya/.m2/repository/junit/junit/3.8/junit-3.8.jar:/Users/hiranya/.m2/repository/soot/soot/2.5.0/soot-2.5.0.jar:/Users/hiranya/.m2/repository/commons-cli/commons-cli/1.2/commons-cli-1.2.jar:/Users/hiranya/.m2/repository/org/json/json/20140107/json-20140107.jar:/Applications/IntelliJ IDEA 11.app/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain edu.ucsb.cs.eager.sa.kitty.Kitty -ccp /Users/hiranya/Projects/eager/sandbox/github/App-Engine-Java-Mapper-API-demos/war/WEB-INF/classes -c com.ikai.mapperdemo.servlets.AddCommentServlet -s http://localhost:8081 -wp -q 0.95
Warning: javax.servlet.http.HttpServlet is a phantom class!
Warning: com.google.appengine.api.datastore.Entity is a phantom class!
Warning: javax.servlet.http.HttpServletResponse is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreServiceFactory is a phantom class!
Warning: com.google.appengine.api.datastore.Key is a phantom class!
Warning: javax.servlet.http.HttpServletRequest is a phantom class!
Warning: com.google.appengine.api.datastore.DatastoreService is a phantom class!
Warning: java.dyn.InvokeDynamic is a phantom class!

Retrieving time series data for 1 API call...
Retrieved time series length: 1292

<init>
======
No paths with API calls found.

doPost
======
1 path with API calls found.
1 unique path with API calls found.

Path: 0
-------
API Calls: bm_datastore_put
Minimum acceptable time series length: 69
Number of data points analyzed: 1224
Calculating quantiles for: bm_datastore_put (q = 0.95; c = 0.05)

[trace][method][path] index p1 p2 current  success success_rate
[trace][doPost][0]   68   42   42   37  N/A   N/A    
[trace][doPost][0]   69   42   42   36  true  100.0000
[trace][doPost][0]   70   42   42   40  true  100.0000
[trace][doPost][0]   71   42   42   39  true  100.0000
[trace][doPost][0]   72   42   42   43  false 75.0000
[trace][doPost][0]   73   43   43   32  true  80.0000
[trace][doPost][0]   74   43   43   37  true  83.3333
[trace][doPost][0]   75   43   43   35  true  85.7143
[trace][doPost][0]   76   43   43   43  false 75.0000
[trace][doPost][0]   77   43   43   33  true  77.7778
[trace][doPost][0]   78   43   43   39  true  80.0000
[trace][doPost][0]   79   43   43   34  true  81.8182
[trace][doPost][0]   80   43   43   31  true  83.3333
[trace][doPost][0]   81   43   43   36  true  84.6154
[trace][doPost][0]   82   43   43   36  true  85.7143
[trace][doPost][0]   83   43   43   35  true  86.6667
[trace][doPost][0]   84   43   43   42  true  87.5000
[trace][doPost][0]   85   43   43   33  true  88.2353
[trace][doPost][0]   86   43   43   46  false 83.3333
[trace][doPost][0]   87   46   46   47  false 78.9474
[trace][doPost][0]   88   47   47   40  true  80.0000
[trace][doPost][0]   89   47   47   50  false 76.1905
[trace][doPost][0]   90   50   50   31  true  77.2727
[trace][doPost][0]   91   50   50   34  true  78.2609
[trace][doPost][0]   92   50   50   38  true  79.1667
[trace][doPost][0]   93   50   50   36  true  80.0000
[trace][doPost][0]   94   50   50   36  true  80.7692
[trace][doPost][0]   95   50   50   41  true  81.4815
[trace][doPost][0]   96   50   50  117  false 78.5714
[trace][doPost][0]   97  117  117   33  true  79.3103
[trace][doPost][0]   98  117  117   42  true  80.0000
[trace][doPost][0]   99  117  117   42  true  80.6452
[trace][doPost][0]  100  117  117   34  true  81.2500
[trace][doPost][0]  101  117  117   77  true  81.8182
[trace][doPost][0]  102  117  117   40  true  82.3529
[trace][doPost][0]  103  117  117   34  true  82.8571
[trace][doPost][0]  104  117  117   38  true  83.3333
[trace][doPost][0]  105  117  117   56  true  83.7838
[trace][doPost][0]  106  117  117   38  true  84.2105
[trace][doPost][0]  107  117  117   80  true  84.6154
[trace][doPost][0]  108  117  117   34  true  85.0000
[trace][doPost][0]  109  117  117   41  true  85.3659
[trace][doPost][0]  110  117  117   39  true  85.7143
[trace][doPost][0]  111  117  117   45  true  86.0465
[trace][doPost][0]  112  117  117   38  true  86.3636
[trace][doPost][0]  113  117  117   35  true  86.6667
[trace][doPost][0]  114  117  117   34  true  86.9565
[trace][doPost][0]  115  117  117   35  true  87.2340
[trace][doPost][0]  116  117  117   36  true  87.5000
[trace][doPost][0]  117   80   80   33  true  87.7551
[trace][doPost][0]  118   80   80   59  true  88.0000
[trace][doPost][0]  119   80   80   48  true  88.2353
[trace][doPost][0]  120   80   80   40  true  88.4615
[trace][doPost][0]  121   80   80   35  true  88.6792
[trace][doPost][0]  122   80   80   47  true  88.8889
[trace][doPost][0]  123   80   80   45  true  89.0909
[trace][doPost][0]  124   80   80   32  true  89.2857
[trace][doPost][0]  125   80   80   37  true  89.4737
[trace][doPost][0]  126   80   80   36  true  89.6552
[trace][doPost][0]  127   80   80   41  true  89.8305
[trace][doPost][0]  128   80   80   36  true  90.0000
[trace][doPost][0]  129   80   80   40  true  90.1639
[trace][doPost][0]  130   80   80   42  true  90.3226
[trace][doPost][0]  131   80   80   49  true  90.4762
[trace][doPost][0]  132   80   80   41  true  90.6250
[trace][doPost][0]  133   80   80   38  true  90.7692
[trace][doPost][0]  134   80   80   94  false 89.3939
[trace][doPost][0]  135   94   94   38  true  89.5522
