Loaded 1300 data points from file
Min index:  68
[trace] 60 51 44
[trace] 61 51 46
[trace] 62 51 40
[trace] 63 51 43
[trace] 64 51 46
[trace] 65 51 43
[trace] 66 51 43
[trace] 67 51 46
[trace] 68 51 58
[trace] 69 58 43
[trace] 70 58 42
[trace] 71 58 42
[trace] 72 58 40
[trace] 73 58 52
[trace] 74 58 44
[trace] 75 58 43
[trace] 76 58 41
[trace] 77 58 50
[trace] 78 58 45
[trace] 79 58 53
[trace] 80 58 40
[trace] 81 58 42
[trace] 82 58 43
[trace] 83 58 42
[trace] 84 58 45
[trace] 85 58 42
[trace] 86 58 69
[trace] 87 69 43
[trace] 88 69 57
[trace] 89 69 44
[trace] 90 69 46
[trace] 91 69 43
[trace] 92 69 45
[trace] 93 69 57
[trace] 94 69 73
[trace] 95 73 46
[trace] 96 73 42
[trace] 97 73 45
[trace] 98 73 41
[trace] 99 73 44
[trace] 100 73 44
[trace] 101 73 52
[trace] 102 73 44
[trace] 103 73 40
[trace] 104 73 41
[trace] 105 73 42
[trace] 106 73 42
[trace] 107 73 47
[trace] 108 73 41
[trace] 109 73 52
[trace] 110 73 41
[trace] 111 73 43
[trace] 112 73 48
[trace] 113 73 44
[trace] 114 73 47
[trace] 115 73 48
[trace] 116 73 41
[trace] 117 69 44
[trace] 118 69 45
[trace] 119 69 45
[trace] 120 69 48
[trace] 121 69 40
[trace] 122 69 48
[trace] 123 69 50
[trace] 124 69 43
[trace] 125 69 45
[trace] 126 69 45
[trace] 127 69 76
[trace] 128 73 48
[trace] 129 73 51
[trace] 130 73 43
[trace] 131 73 44
[trace] 132 73 42
[trace] 133 73 46
[trace] 134 73 46
[trace] 135 73 41
[trace] 136 73 49
[trace] 137 73 47
[trace] 138 73 42
[trace] 139 73 46
[trace] 140 73 39
[trace] 141 73 40
[trace] 142 73 65
[trace] 143 73 52
[trace] 144 73 48
[trace] 145 73 47
[trace] 146 73 58
[trace] 147 73 46
[trace] 148 73 41
[trace] 149 73 53
[trace] 150 73 51
[trace] 151 69 46
[trace] 152 69 41
[trace] 153 69 47
[trace] 154 69 43
[trace] 155 69 46
[trace] 156 69 43
[trace] 157 69 59
[trace] 158 69 41
[trace] 159 69 43
[trace] 160 69 44
[trace] 161 69 42
[trace] 162 69 41
[trace] 163 69 43
[trace] 164 69 45
[trace] 165 69 42
[trace] 166 69 48
[trace] 167 69 51
[trace] 168 69 41
[trace] 169 69 43
[trace] 170 69 41
[trace] 171 69 74
[trace] 172 73 44
[trace] 173 73 51
[trace] 174 73 44
[trace] 175 73 51
[trace] 176 73 41
[trace] 177 73 44
[trace] 178 73 43
[trace] 179 73 48
[trace] 180 73 53
[trace] 181 73 42
[trace] 182 69 68
[trace] 183 69 45
[trace] 184 69 44
[trace] 185 69 42
[trace] 186 69 40
[trace] 187 69 42
[trace] 188 69 53
[trace] 189 69 51
[trace] 190 69 50
[trace] 191 69 43
[trace] 192 69 39
[trace] 193 69 43
[trace] 194 69 45
[trace] 195 69 43
[trace] 196 69 52
[trace] 197 69 44
[trace] 198 69 40
[trace] 199 69 43
[trace] 200 69 55
[trace] 201 69 44
[trace] 202 69 41
[trace] 203 69 48
[trace] 204 69 40
[trace] 205 69 48
[trace] 206 69 48
[trace] 207 69 38
[trace] 208 69 48
[trace] 209 69 44
[trace] 210 69 48
[trace] 211 68 42
[trace] 212 68 40
[trace] 213 68 40
[trace] 214 68 43
[trace] 215 68 45
[trace] 216 68 45
[trace] 217 68 54
[trace] 218 68 44
[trace] 219 68 43
[trace] 220 68 56
[trace] 221 68 41
[trace] 222 68 45
[trace] 223 68 43
[trace] 224 68 46
[trace] 225 68 45
[trace] 226 68 41
[trace] 227 68 49
[trace] 228 68 39
[trace] 229 68 41
[trace] 230 68 45
[trace] 231 68 46
[trace] 232 68 39
[trace] 233 68 42
[trace] 234 68 45
[trace] 235 68 53
[trace] 236 68 46
[trace] 237 68 46
[trace] 238 68 43
[trace] 239 65 46
[trace] 240 65 41
[trace] 241 65 47
[trace] 242 65 46
[trace] 243 65 44
[trace] 244 65 52
[trace] 245 65 42
[trace] 246 65 43
[trace] 247 65 43
[trace] 248 65 41
[trace] 249 65 41
[trace] 250 65 58
[trace] 251 65 41
[trace] 252 65 44
[trace] 253 65 42
[trace] 254 65 43
[trace] 255 65 40
[trace] 256 65 49
[trace] 257 65 65
[trace] 258 65 55
[trace] 259 65 59
[trace] 260 65 58
[trace] 261 65 79
[trace] 262 68 54
[trace] 263 68 66
[trace] 264 68 69
[trace] 265 69 110
[trace] 266 69 62
[trace] 267 69 44
[trace] 268 69 42
[trace] 269 69 43
[trace] 270 69 42
[trace] 271 69 72
[trace] 272 69 64
[trace] 273 69 59
[trace] 274 69 42
[trace] 275 69 77
[trace] 276 72 49
[trace] 277 72 46
[trace] 278 72 49
[trace] 279 72 52
[trace] 280 72 49
[trace] 281 72 71
[trace] 282 72 77
[trace] 283 73 61
[trace] 284 73 53
[trace] 285 73 55
[trace] 286 73 40
[trace] 287 73 44
[trace] 288 73 49
[trace] 289 73 62
[trace] 290 73 66
[trace] 291 73 55
[trace] 292 72 44
[trace] 293 72 46
