Loaded 1334 data points from file
Min index:  68
[trace] 60 44 80
[trace] 61 80 40
[trace] 62 80 50
[trace] 63 80 43
[trace] 64 80 40
[trace] 65 80 39
[trace] 66 80 46
[trace] 67 80 57
[trace] 68 80 44
[trace] 69 80 40
[trace] 70 80 44
[trace] 71 80 52
[trace] 72 80 42
[trace] 73 80 48
[trace] 74 80 49
[trace] 75 80 42
[trace] 76 80 41
[trace] 77 80 43
[trace] 78 80 39
[trace] 79 80 43
[trace] 80 80 42
[trace] 81 80 46
[trace] 82 80 43
[trace] 83 80 43
[trace] 84 80 39
[trace] 85 80 42
[trace] 86 80 42
[trace] 87 80 43
[trace] 88 80 48
[trace] 89 80 44
[trace] 90 80 45
[trace] 91 80 44
[trace] 92 80 45
[trace] 93 80 42
[trace] 94 80 40
[trace] 95 80 45
[trace] 96 80 45
[trace] 97 80 45
[trace] 98 80 41
[trace] 99 80 40
[trace] 100 80 46
[trace] 101 80 41
[trace] 102 80 41
[trace] 103 80 50
[trace] 104 80 43
[trace] 105 80 43
[trace] 106 80 41
[trace] 107 80 47
[trace] 108 80 40
[trace] 109 80 44
[trace] 110 80 40
[trace] 111 80 50
[trace] 112 80 43
[trace] 113 80 42
[trace] 114 80 63
[trace] 115 80 52
[trace] 116 80 46
[trace] 117 80 40
[trace] 118 63 42
[trace] 119 63 45
[trace] 120 63 38
[trace] 121 63 52
[trace] 122 63 63
[trace] 123 63 55
[trace] 124 63 44
[trace] 125 63 40
[trace] 126 63 41
[trace] 127 63 48
[trace] 128 63 43
[trace] 129 63 42
[trace] 130 63 45
[trace] 131 63 43
[trace] 132 63 42
[trace] 133 63 41
[trace] 134 63 45
[trace] 135 63 39
[trace] 136 63 40
[trace] 137 63 38
[trace] 138 63 43
[trace] 139 63 42
[trace] 140 63 50
[trace] 141 63 44
[trace] 142 63 48
[trace] 143 63 41
[trace] 144 63 41
[trace] 145 63 47
[trace] 146 63 48
[trace] 147 63 40
[trace] 148 63 50
[trace] 149 63 47
[trace] 150 63 40
[trace] 151 63 49
[trace] 152 63 41
[trace] 153 63 48
[trace] 154 63 41
[trace] 155 63 42
[trace] 156 63 41
[trace] 157 63 49
[trace] 158 63 49
[trace] 159 63 46
[trace] 160 63 42
[trace] 161 63 44
[trace] 162 63 41
[trace] 163 63 41
[trace] 164 63 43
[trace] 165 63 49
[trace] 166 63 39
[trace] 167 63 44
[trace] 168 63 40
[trace] 169 63 45
[trace] 170 63 43
[trace] 171 63 46
[trace] 172 63 40
[trace] 173 63 42
[trace] 174 63 43
[trace] 175 63 43
[trace] 176 63 51
[trace] 177 63 58
[trace] 178 63 40
[trace] 179 63 67
[trace] 180 63 42
[trace] 181 63 41
[trace] 182 63 55
[trace] 183 63 59
[trace] 184 63 77
[trace] 185 63 47
[trace] 186 63 40
[trace] 187 63 42
[trace] 188 63 40
[trace] 189 63 48
[trace] 190 63 57
[trace] 191 63 41
[trace] 192 63 41
[trace] 193 63 47
[trace] 194 63 42
[trace] 195 63 46
[trace] 196 63 45
[trace] 197 63 44
[trace] 198 63 41
[trace] 199 63 40
[trace] 200 63 52
[trace] 201 63 43
[trace] 202 63 48
[trace] 203 63 41
