Loaded 1288 data points from file
Min index:  68
[trace] 60 -1 19
[trace] 61 19 16
[trace] 62 19 14
[trace] 63 19 18
[trace] 64 19 18
[trace] 65 19 18
[trace] 66 19 15
[trace] 67 19 16
[trace] 68 19 15
[trace] 69 19 14
[trace] 70 19 15
[trace] 71 19 15
[trace] 72 19 15
[trace] 73 19 20
[trace] 74 20 15
[trace] 75 20 15
[trace] 76 20 16
[trace] 77 20 16
[trace] 78 20 16
[trace] 79 20 18
[trace] 80 20 14
[trace] 81 20 16
[trace] 82 20 15
[trace] 83 20 14
[trace] 84 20 15
[trace] 85 20 16
[trace] 86 20 16
[trace] 87 20 22
[trace] 88 22 17
[trace] 89 22 15
[trace] 90 22 17
[trace] 91 22 17
[trace] 92 22 16
[trace] 93 22 16
[trace] 94 22 17
[trace] 95 22 16
[trace] 96 22 15
[trace] 97 22 15
[trace] 98 22 15
[trace] 99 22 16
[trace] 100 22 16
[trace] 101 22 17
[trace] 102 22 16
[trace] 103 22 17
[trace] 104 22 17
[trace] 105 22 16
[trace] 106 22 17
[trace] 107 22 14
[trace] 108 22 16
[trace] 109 22 16
[trace] 110 22 20
[trace] 111 22 16
[trace] 112 22 15
[trace] 113 22 15
[trace] 114 22 16
[trace] 115 22 15
[trace] 116 22 16
[trace] 117 22 16
[trace] 118 22 15
[trace] 119 20 14
[trace] 120 20 19
[trace] 121 20 20
[trace] 122 20 13
[trace] 123 20 16
[trace] 124 20 16
[trace] 125 20 16
[trace] 126 20 15
[trace] 127 20 16
[trace] 128 20 16
[trace] 129 20 16
[trace] 130 20 17
[trace] 131 20 15
[trace] 132 20 23
[trace] 133 22 18
[trace] 134 22 16
[trace] 135 22 17
[trace] 136 22 18
[trace] 137 22 15
[trace] 138 22 17
[trace] 139 22 17
[trace] 140 22 20
[trace] 141 22 17
[trace] 142 22 19
[trace] 143 22 23
[trace] 144 23 17
[trace] 145 23 19
[trace] 146 23 15
[trace] 147 23 18
[trace] 148 23 17
[trace] 149 23 16
[trace] 150 23 19
[trace] 151 23 15
[trace] 152 23 17
[trace] 153 22 18
[trace] 154 22 19
[trace] 155 22 16
[trace] 156 22 17
[trace] 157 22 21
[trace] 158 22 19
[trace] 159 22 18
[trace] 160 22 16
[trace] 161 22 14
[trace] 162 22 17
[trace] 163 22 17
[trace] 164 22 18
[trace] 165 22 17
[trace] 166 22 18
[trace] 167 22 18
[trace] 168 22 17
[trace] 169 22 17
[trace] 170 22 16
[trace] 171 22 19
[trace] 172 22 17
[trace] 173 22 19
[trace] 174 22 20
[trace] 175 22 18
[trace] 176 22 15
[trace] 177 22 19
[trace] 178 22 17
[trace] 179 22 16
[trace] 180 22 16
[trace] 181 22 16
[trace] 182 22 20
[trace] 183 22 18
[trace] 184 21 17
[trace] 185 21 14
[trace] 186 21 16
[trace] 187 21 21
[trace] 188 21 14
[trace] 189 21 18
[trace] 190 21 19
[trace] 191 21 15
[trace] 192 21 17
[trace] 193 21 17
[trace] 194 21 17
[trace] 195 21 16
[trace] 196 21 18
[trace] 197 21 18
[trace] 198 21 17
[trace] 199 21 17
[trace] 200 21 16
[trace] 201 21 17
[trace] 202 21 17
[trace] 203 21 15
[trace] 204 21 17
[trace] 205 21 17
[trace] 206 21 15
[trace] 207 21 18
[trace] 208 21 18
[trace] 209 21 15
[trace] 210 21 17
[trace] 211 21 17
[trace] 212 21 15
[trace] 213 21 17
[trace] 214 21 18
[trace] 215 21 15
[trace] 216 21 18
[trace] 217 21 17
[trace] 218 21 15
[trace] 219 21 17
[trace] 220 21 19
[trace] 221 21 18
[trace] 222 21 17
[trace] 223 21 20
[trace] 224 21 16
[trace] 225 21 18
[trace] 226 21 18
[trace] 227 21 18
[trace] 228 21 17
[trace] 229 21 17
[trace] 230 21 15
[trace] 231 21 17
[trace] 232 21 16
[trace] 233 21 14
[trace] 234 21 18
[trace] 235 21 17
[trace] 236 21 17
[trace] 237 21 16
[trace] 238 21 18
[trace] 239 21 20
[trace] 240 21 18
[trace] 241 20 17
[trace] 242 20 15
[trace] 243 20 17
[trace] 244 20 19
[trace] 245 20 17
[trace] 246 20 17
[trace] 247 20 17
[trace] 248 20 16
[trace] 249 20 15
[trace] 250 20 16
[trace] 251 20 17
[trace] 252 20 16
[trace] 253 20 19
[trace] 254 20 16
[trace] 255 20 17
[trace] 256 20 18
[trace] 257 20 19
[trace] 258 20 16
[trace] 259 20 18
[trace] 260 20 15
[trace] 261 20 17
[trace] 262 20 16
[trace] 263 20 16
[trace] 264 20 16
[trace] 265 20 32
[trace] 266 21 15
[trace] 267 21 15
[trace] 268 20 17
[trace] 269 20 16
[trace] 270 20 16
[trace] 271 20 18
[trace] 272 20 15
[trace] 273 20 19
[trace] 274 20 21
[trace] 275 21 15
[trace] 276 21 16
[trace] 277 21 17
[trace] 278 21 14
[trace] 279 21 15
[trace] 280 21 16
[trace] 281 21 15
[trace] 282 21 18
[trace] 283 21 17
[trace] 284 21 15
[trace] 285 21 16
[trace] 286 21 15
[trace] 287 21 17
[trace] 288 21 16
[trace] 289 21 16
[trace] 290 21 16
[trace] 291 21 16
[trace] 292 21 16
[trace] 293 21 15
[trace] 294 20 16
[trace] 295 20 16
[trace] 296 20 15
[trace] 297 20 15
[trace] 298 20 17
[trace] 299 20 16
[trace] 300 20 16
[trace] 301 20 17
[trace] 302 20 16
[trace] 303 20 18
[trace] 304 20 16
[trace] 305 20 15
[trace] 306 20 16
[trace] 307 20 18
[trace] 308 20 18
[trace] 309 20 16
[trace] 310 20 16
[trace] 311 20 17
[trace] 312 20 15
[trace] 313 20 24
[trace] 314 21 15
[trace] 315 21 15
[trace] 316 21 19
[trace] 317 21 15
[trace] 318 21 16
[trace] 319 21 16
[trace] 320 20 14
[trace] 321 20 15
[trace] 322 20 17
[trace] 323 20 16
[trace] 324 20 17
[trace] 325 20 17
[trace] 326 20 20
[trace] 327 20 15
[trace] 328 20 17
[trace] 329 20 15
[trace] 330 20 15
[trace] 331 20 17
[trace] 332 20 17
[trace] 333 20 17
[trace] 334 20 17
[trace] 335 20 15
[trace] 336 20 16
[trace] 337 20 17
[trace] 338 20 17
[trace] 339 20 17
[trace] 340 20 16
[trace] 341 20 14
[trace] 342 20 16
[trace] 343 20 17
[trace] 344 20 17
[trace] 345 20 16
[trace] 346 20 16
[trace] 347 20 16
[trace] 348 20 16
[trace] 349 20 16
[trace] 350 20 17
[trace] 351 20 18
[trace] 352 20 20
[trace] 353 20 19
[trace] 354 20 15
[trace] 355 20 16
[trace] 356 20 16
[trace] 357 20 16
[trace] 358 20 17
[trace] 359 20 18
[trace] 360 20 16
[trace] 361 20 19
[trace] 362 20 16
[trace] 363 20 16
[trace] 364 20 15
[trace] 365 20 15
[trace] 366 20 15
[trace] 367 20 16
[trace] 368 20 14
[trace] 369 20 15
[trace] 370 20 15
[trace] 371 20 15
[trace] 372 20 19
[trace] 373 20 16
[trace] 374 20 19
[trace] 375 20 15
[trace] 376 20 19
[trace] 377 20 16
[trace] 378 20 15
[trace] 379 20 16
[trace] 380 20 18
[trace] 381 20 15
[trace] 382 20 19
[trace] 383 20 16
[trace] 384 20 15
[trace] 385 20 17
[trace] 386 20 15
[trace] 387 20 18
[trace] 388 20 16
[trace] 389 20 18
[trace] 390 20 16
[trace] 391 20 20
[trace] 392 20 15
[trace] 393 20 16
[trace] 394 20 18
[trace] 395 20 16
[trace] 396 20 17
[trace] 397 20 18
[trace] 398 20 15
[trace] 399 20 16
[trace] 400 20 17
[trace] 401 20 16
[trace] 402 20 15
[trace] 403 20 16
[trace] 404 20 17
[trace] 405 20 15
[trace] 406 20 15
[trace] 407 20 15
[trace] 408 20 15
[trace] 409 20 17
[trace] 410 20 15
[trace] 411 20 16
[trace] 412 20 15
[trace] 413 20 15
[trace] 414 20 16
[trace] 415 20 17
[trace] 416 20 15
[trace] 417 20 14
[trace] 418 20 16
[trace] 419 20 15
[trace] 420 20 15
[trace] 421 20 16
[trace] 422 20 16
[trace] 423 20 15
[trace] 424 20 16
[trace] 425 20 16
[trace] 426 20 16
[trace] 427 20 16
[trace] 428 20 20
[trace] 429 20 15
[trace] 430 20 16
[trace] 431 20 15
[trace] 432 20 18
[trace] 433 20 16
[trace] 434 20 15
[trace] 435 20 16
[trace] 436 20 16
[trace] 437 20 17
[trace] 438 20 15
[trace] 439 20 18
[trace] 440 20 17
[trace] 441 20 15
[trace] 442 20 17
[trace] 443 20 14
[trace] 444 20 16
[trace] 445 20 19
[trace] 446 20 14
[trace] 447 20 15
[trace] 448 20 17
[trace] 449 20 15
[trace] 450 20 16
[trace] 451 20 17
[trace] 452 20 19
[trace] 453 20 15
[trace] 454 20 19
[trace] 455 20 14
[trace] 456 20 16
[trace] 457 20 16
[trace] 458 20 15
[trace] 459 20 15
[trace] 460 20 19
[trace] 461 20 15
[trace] 462 20 16
[trace] 463 20 38
[trace] 464 20 18
[trace] 465 20 16
[trace] 466 20 19
[trace] 467 20 15
[trace] 468 20 16
[trace] 469 20 22
[trace] 470 20 15
[trace] 471 20 15
[trace] 472 20 18
[trace] 473 20 15
[trace] 474 20 20
[trace] 475 20 22
[trace] 476 20 14
[trace] 477 20 16
[trace] 478 20 17
[trace] 479 20 15
[trace] 480 20 15
[trace] 481 20 15
[trace] 482 20 14
[trace] 483 20 15
[trace] 484 20 16
[trace] 485 20 17
[trace] 486 20 17
[trace] 487 20 16
[trace] 488 20 19
[trace] 489 20 18
[trace] 490 20 16
[trace] 491 20 15
[trace] 492 20 15
[trace] 493 20 16
[trace] 494 20 14
[trace] 495 20 18
[trace] 496 20 16
[trace] 497 20 15
[trace] 498 20 15
[trace] 499 20 17
[trace] 500 20 15
[trace] 501 20 20
[trace] 502 20 15
[trace] 503 20 15
[trace] 504 20 16
[trace] 505 20 16
[trace] 506 20 16
[trace] 507 20 16
[trace] 508 20 22
[trace] 509 20 15
[trace] 510 20 17
[trace] 511 20 18
[trace] 512 20 18
[trace] 513 20 16
[trace] 514 20 17
[trace] 515 20 23
[trace] 516 20 15
[trace] 517 20 16
[trace] 518 20 17
[trace] 519 20 17
[trace] 520 20 17
[trace] 521 20 15
[trace] 522 20 15
[trace] 523 20 16
[trace] 524 20 15
[trace] 525 20 15
[trace] 526 20 18
[trace] 527 20 19
[trace] 528 20 16
[trace] 529 20 21
[trace] 530 20 15
[trace] 531 20 22
[trace] 532 20 17
[trace] 533 20 15
[trace] 534 20 20
[trace] 535 20 16
[trace] 536 20 15
[trace] 537 20 22
[trace] 538 20 16
[trace] 539 20 15
[trace] 540 20 16
[trace] 541 20 18
[trace] 542 20 19
[trace] 543 20 16
[trace] 544 20 17
[trace] 545 20 15
[trace] 546 20 15
[trace] 547 20 15
[trace] 548 20 15
[trace] 549 20 16
[trace] 550 20 17
[trace] 551 20 17
[trace] 552 20 15
[trace] 553 20 17
[trace] 554 20 14
[trace] 555 20 15
[trace] 556 20 16
[trace] 557 20 16
[trace] 558 20 17
[trace] 559 20 15
[trace] 560 20 15
[trace] 561 20 16
[trace] 562 20 14
[trace] 563 20 17
[trace] 564 20 17
[trace] 565 20 15
[trace] 566 20 14
[trace] 567 20 15
[trace] 568 20 16
[trace] 569 20 15
[trace] 570 20 17
[trace] 571 20 15
[trace] 572 20 17
[trace] 573 20 15
[trace] 574 20 15
[trace] 575 20 14
[trace] 576 20 15
[trace] 577 20 16
[trace] 578 20 15
[trace] 579 20 15
[trace] 580 20 15
[trace] 581 20 18
[trace] 582 20 14
[trace] 583 20 15
[trace] 584 20 15
[trace] 585 20 18
[trace] 586 20 15
[trace] 587 20 14
[trace] 588 20 17
[trace] 589 20 15
[trace] 590 20 15
[trace] 591 20 16
[trace] 592 20 16
[trace] 593 20 16
[trace] 594 20 15
[trace] 595 20 14
[trace] 596 20 15
[trace] 597 20 15
[trace] 598 20 15
[trace] 599 20 14
[trace] 600 20 16
[trace] 601 20 15
[trace] 602 20 15
[trace] 603 20 15
[trace] 604 20 17
[trace] 605 20 17
[trace] 606 20 16
[trace] 607 20 16
[trace] 608 20 15
[trace] 609 20 14
[trace] 610 20 16
[trace] 611 20 15
[trace] 612 20 15
[trace] 613 20 16
[trace] 614 20 24
[trace] 615 20 15
[trace] 616 20 15
[trace] 617 20 22
[trace] 618 20 16
[trace] 619 20 15
[trace] 620 20 17
[trace] 621 20 16
[trace] 622 20 16
[trace] 623 20 14
[trace] 624 20 16
[trace] 625 20 15
[trace] 626 20 14
[trace] 627 20 15
[trace] 628 20 16
[trace] 629 20 17
[trace] 630 20 15
[trace] 631 20 16
[trace] 632 20 17
[trace] 633 20 19
[trace] 634 20 16
[trace] 635 20 15
[trace] 636 20 16
[trace] 637 20 18
[trace] 638 20 19
[trace] 639 20 21
[trace] 640 20 18
[trace] 641 20 15
[trace] 642 20 15
[trace] 643 20 16
[trace] 644 20 16
[trace] 645 20 15
[trace] 646 20 16
[trace] 647 20 16
[trace] 648 20 16
[trace] 649 20 15
[trace] 650 20 14
[trace] 651 20 15
[trace] 652 20 16
[trace] 653 20 14
[trace] 654 20 15
[trace] 655 20 15
[trace] 656 20 15
[trace] 657 20 15
[trace] 658 20 16
[trace] 659 20 14
[trace] 660 20 15
[trace] 661 20 491
[trace] 662 20 14
[trace] 663 20 15
[trace] 664 20 15
[trace] 665 20 15
[trace] 666 20 15
[trace] 667 20 15
[trace] 668 20 14
[trace] 669 20 15
[trace] 670 20 16
[trace] 671 20 16
[trace] 672 20 22
[trace] 673 20 15
[trace] 674 20 14
[trace] 675 20 16
[trace] 676 20 15
[trace] 677 20 15
[trace] 678 20 15
[trace] 679 20 15
[trace] 680 20 14
[trace] 681 20 16
[trace] 682 20 15
[trace] 683 20 14
[trace] 684 20 15
[trace] 685 20 16
[trace] 686 20 15
[trace] 687 20 15
[trace] 688 20 15
[trace] 689 20 27
[trace] 690 20 15
[trace] 691 20 15
[trace] 692 20 27
[trace] 693 20 16
[trace] 694 20 16
[trace] 695 20 17
[trace] 696 20 17
[trace] 697 20 18
[trace] 698 20 14
[trace] 699 20 17
[trace] 700 20 17
[trace] 701 20 14
[trace] 702 20 15
[trace] 703 20 15
[trace] 704 20 15
[trace] 705 20 15
[trace] 706 20 15
[trace] 707 20 15
[trace] 708 20 14
[trace] 709 20 15
[trace] 710 20 15
[trace] 711 20 16
[trace] 712 20 16
[trace] 713 20 15
[trace] 714 20 15
[trace] 715 20 15
[trace] 716 20 19
[trace] 717 20 18
[trace] 718 20 15
[trace] 719 20 13
[trace] 720 20 16
[trace] 721 20 15
[trace] 722 20 17
[trace] 723 20 14
[trace] 724 20 15
[trace] 725 20 15
[trace] 726 20 15
[trace] 727 20 14
[trace] 728 20 15
[trace] 729 20 15
[trace] 730 20 15
[trace] 731 20 16
[trace] 732 20 15
[trace] 733 20 16
[trace] 734 20 17
[trace] 735 20 16
[trace] 736 20 15
[trace] 737 20 15
[trace] 738 20 15
[trace] 739 20 17
[trace] 740 20 19
[trace] 741 20 16
[trace] 742 20 18
[trace] 743 20 15
[trace] 744 20 18
[trace] 745 20 16
[trace] 746 20 17
[trace] 747 20 15
[trace] 748 20 16
[trace] 749 20 16
[trace] 750 20 15
[trace] 751 20 15
[trace] 752 20 17
[trace] 753 20 17
[trace] 754 20 14
[trace] 755 20 15
[trace] 756 20 20
[trace] 757 20 15
[trace] 758 20 15
[trace] 759 20 15
[trace] 760 20 16
[trace] 761 20 15
[trace] 762 20 17
[trace] 763 20 15
[trace] 764 20 15
[trace] 765 20 15
[trace] 766 20 14
