Loaded 1261 data points from file
Min index:  68
[trace] 60 45 36
[trace] 61 45 40
[trace] 62 45 38
[trace] 63 45 34
[trace] 64 45 66
[trace] 65 66 35
[trace] 66 66 39
[trace] 67 66 40
[trace] 68 66 37
[trace] 69 66 34
[trace] 70 66 37
[trace] 71 66 37
[trace] 72 66 40
[trace] 73 66 36
[trace] 74 66 36
[trace] 75 66 33
[trace] 76 66 40
[trace] 77 66 35
[trace] 78 66 37
[trace] 79 66 35
[trace] 80 66 38
[trace] 81 66 40
[trace] 82 66 37
[trace] 83 66 41
[trace] 84 66 35
[trace] 85 66 36
[trace] 86 66 34
[trace] 87 66 39
[trace] 88 66 35
[trace] 89 66 35
[trace] 90 66 36
[trace] 91 66 45
[trace] 92 66 52
[trace] 93 66 35
[trace] 94 66 37
[trace] 95 66 33
[trace] 96 66 37
[trace] 97 66 41
[trace] 98 66 38
[trace] 99 66 35
[trace] 100 66 49
[trace] 101 66 35
[trace] 102 66 34
[trace] 103 66 34
[trace] 104 66 36
[trace] 105 66 38
[trace] 106 66 39
[trace] 107 66 119
[trace] 108 119 38
[trace] 109 119 79
[trace] 110 119 39
[trace] 111 119 34
[trace] 112 119 62
[trace] 113 119 33
[trace] 114 119 33
[trace] 115 119 36
[trace] 116 119 35
[trace] 117 79 35
[trace] 118 79 35
[trace] 119 79 37
[trace] 120 79 39
[trace] 121 79 47
[trace] 122 79 40
[trace] 123 79 36
[trace] 124 79 33
[trace] 125 79 44
[trace] 126 79 39
[trace] 127 79 52
[trace] 128 79 55
[trace] 129 79 43
[trace] 130 79 37
[trace] 131 79 33
[trace] 132 79 36
[trace] 133 79 33
[trace] 134 79 34
[trace] 135 79 37
[trace] 136 79 34
[trace] 137 79 49
[trace] 138 79 70
[trace] 139 79 34
[trace] 140 79 35
[trace] 141 79 37
[trace] 142 79 34
[trace] 143 79 42
[trace] 144 79 37
[trace] 145 79 33
[trace] 146 79 34
[trace] 147 79 44
[trace] 148 79 38
[trace] 149 79 35
[trace] 150 79 37
[trace] 151 70 39
[trace] 152 70 36
[trace] 153 70 35
[trace] 154 70 50
[trace] 155 70 38
[trace] 156 70 39
[trace] 157 70 34
[trace] 158 70 37
[trace] 159 70 40
[trace] 160 70 45
[trace] 161 70 35
[trace] 162 70 31
[trace] 163 70 33
[trace] 164 70 38
[trace] 165 70 51
[trace] 166 70 33
[trace] 167 70 41
[trace] 168 70 33
[trace] 169 70 47
[trace] 170 70 35
[trace] 171 70 39
[trace] 172 70 39
[trace] 173 70 34
[trace] 174 70 41
[trace] 175 70 35
[trace] 176 70 38
[trace] 177 70 78
[trace] 178 78 51
[trace] 179 78 33
[trace] 180 78 39
[trace] 181 78 34
[trace] 182 70 34
[trace] 183 70 34
[trace] 184 70 33
[trace] 185 70 34
[trace] 186 70 40
[trace] 187 70 64
[trace] 188 70 36
[trace] 189 70 36
[trace] 190 70 43
[trace] 191 70 38
[trace] 192 70 36
[trace] 193 70 36
[trace] 194 70 32
[trace] 195 70 34
[trace] 196 70 40
[trace] 197 70 34
[trace] 198 70 36
[trace] 199 70 36
[trace] 200 70 43
[trace] 201 70 33
[trace] 202 70 38
[trace] 203 70 35
[trace] 204 70 48
[trace] 205 70 38
[trace] 206 70 37
[trace] 207 70 35
[trace] 208 70 37
[trace] 209 70 35
[trace] 210 70 33
[trace] 211 66 41
[trace] 212 66 34
[trace] 213 66 39
[trace] 214 66 37
[trace] 215 66 39
[trace] 216 66 45
[trace] 217 66 47
[trace] 218 66 35
[trace] 219 66 34
[trace] 220 66 50
[trace] 221 66 72
[trace] 222 70 35
[trace] 223 70 34
[trace] 224 70 34
[trace] 225 70 36
[trace] 226 70 38
[trace] 227 70 36
[trace] 228 70 39
[trace] 229 70 36
[trace] 230 70 47
[trace] 231 70 36
[trace] 232 70 37
[trace] 233 70 46
[trace] 234 70 39
[trace] 235 70 35
[trace] 236 70 45
[trace] 237 70 47
[trace] 238 70 33
[trace] 239 66 32
[trace] 240 66 35
[trace] 241 66 34
[trace] 242 66 37
[trace] 243 66 35
[trace] 244 66 37
[trace] 245 66 40
[trace] 246 66 47
[trace] 247 66 38
[trace] 248 66 32
[trace] 249 66 37
[trace] 250 66 93
[trace] 251 70 38
[trace] 252 70 39
[trace] 253 70 41
[trace] 254 70 33
[trace] 255 70 35
[trace] 256 70 34
[trace] 257 70 80
[trace] 258 72 38
[trace] 259 72 33
[trace] 260 72 35
[trace] 261 72 42
[trace] 262 72 51
[trace] 263 72 37
[trace] 264 72 77
[trace] 265 77 34
[trace] 266 72 48
[trace] 267 72 39
[trace] 268 72 42
[trace] 269 72 44
[trace] 270 72 34
[trace] 271 72 41
[trace] 272 72 36
[trace] 273 72 43
[trace] 274 72 32
[trace] 275 72 36
[trace] 276 72 35
[trace] 277 72 35
[trace] 278 72 33
[trace] 279 72 34
[trace] 280 72 38
[trace] 281 72 34
[trace] 282 72 30
[trace] 283 72 36
[trace] 284 72 33
[trace] 285 72 35
[trace] 286 72 36
[trace] 287 72 35
[trace] 288 72 39
[trace] 289 72 46
[trace] 290 72 118
[trace] 291 77 35
[trace] 292 72 32
[trace] 293 72 34
[trace] 294 72 46
[trace] 295 72 61
[trace] 296 72 32
[trace] 297 72 40
[trace] 298 72 40
[trace] 299 72 39
[trace] 300 72 34
[trace] 301 72 38
[trace] 302 72 35
[trace] 303 72 39
[trace] 304 72 33
[trace] 305 72 36
[trace] 306 72 38
[trace] 307 72 36
[trace] 308 72 33
[trace] 309 72 37
[trace] 310 72 40
[trace] 311 72 33
[trace] 312 72 37
[trace] 313 72 40
[trace] 314 72 37
[trace] 315 72 33
[trace] 316 72 37
[trace] 317 72 35
[trace] 318 70 36
[trace] 319 70 38
[trace] 320 70 39
[trace] 321 70 36
[trace] 322 70 37
[trace] 323 70 35
[trace] 324 70 42
[trace] 325 70 35
[trace] 326 70 35
[trace] 327 70 41
[trace] 328 70 34
[trace] 329 70 35
[trace] 330 70 35
[trace] 331 70 36
[trace] 332 70 35
[trace] 333 70 37
[trace] 334 70 36
[trace] 335 70 37
[trace] 336 70 48
[trace] 337 70 42
[trace] 338 70 33
[trace] 339 70 34
[trace] 340 70 39
[trace] 341 70 35
[trace] 342 70 43
[trace] 343 70 44
[trace] 344 66 35
[trace] 345 66 36
[trace] 346 66 37
[trace] 347 66 36
[trace] 348 66 39
[trace] 349 66 40
[trace] 350 66 34
