A B C Total
8.42270663671 45.668675293 45.7173128719 100.944968007
8.5927645263 41.879647789 46.6633427699 100.176362405
5.52556355232 56.014580515 45.6441285375 111.833850023
7.20922524269 46.4539240984 38.82675659 93.2054840379
5.48850023553 46.9329635554 55.1886134514 108.98536223
9.79805565206 52.711885464 39.0580954975 102.234108397
6.26935270948 50.3880954844 51.153741403 112.132176589
5.91141070745 49.8406423126 41.2809704704 101.765684966
5.0497036584 48.3629959344 33.7660549915 91.5215616699
5.53192040452 53.3971876432 38.3448476936 100.437653999
7.78049323216 57.4031007274 54.6240694684 123.674632326
7.1277623727 43.9721856608 50.7989642271 105.93904906
9.28694072048 47.2732719259 51.9071505919 110.571579645
8.96659722951 43.9832026459 44.2951949036 101.921499289
5.87225145002 58.0074039811 45.6697836072 114.326298154
5.86370805266 38.0611725834 39.4462943247 87.2552169124
6.74615442957 53.7697495866 51.8098341882 116.941010692
9.71404723818 53.7493337503 57.5523254213 123.744235595
9.18924970887 46.7022640246 32.0239805691 89.1833211431
7.1313720921 59.9386407784 60.9927907907 132.508180474
8.34782946093 46.3629686785 54.8422453824 113.069647059
9.26953976312 53.5926822352 36.1928144885 101.468492169
6.34779533373 53.9779633565 48.164357472 109.070412633
9.14205585797 49.5696947218 50.7629181682 114.047485039
6.74977406054 56.2543719483 36.9241954003 104.528035584
6.45834287392 44.0254628582 62.3372513541 112.826074326
8.0828597779 46.6283563434 49.3055756945 108.403491694
6.78102632708 54.9072695375 45.761343658 107.548112013
9.57598088517 38.2882891653 45.5639067466 96.5668694762
8.57093451158 44.8021489438 56.9271694663 112.203314566
7.80640327917 48.3872277717 44.8955713153 103.371915639
5.43820396882 45.51117533 38.806551467 91.7797498644
7.71527529463 50.976048682 53.7833662586 115.725033856
5.31348480421 54.9229863352 58.0033715556 122.248501548
6.04120733607 43.3567943775 53.7931457321 107.192734485
6.07859733096 47.8635903657 45.3088095665 103.343998817
9.95936198433 52.2375424825 50.4887777447 113.790738947
7.79369406869 43.3664067945 51.6174210197 105.506165911
6.28013463107 48.970212334 48.8200986105 106.70553884
8.52965589401 47.7483452082 57.3502705497 115.967793348
7.83128653381 59.1185037217 48.763479397 117.181307762
