A B C D E Total
5.05204201148 44.7976350486 62.6312774805 28.9319315304 18.8863697384 162.511395525
9.77189971589 48.7306100914 62.9287228927 31.694991428 20.9649818025 175.237285781
8.3809591312 48.6697691205 51.2133568194 23.7005457334 24.6739200182 160.076356042
5.51906821552 51.049698869 48.3286635509 17.8040686197 22.91023649 149.098198369
5.07016901848 52.5370690291 57.8862208314 25.9774650367 21.6427746213 166.829995953
9.60212763772 47.2239778266 43.8669034199 16.4263330934 26.3424922919 145.915763402
7.8593088822 47.1902792584 49.9073571223 14.5095714896 25.8116255048 148.173186476
5.3266208252 47.9195353651 52.9931786476 23.0683084144 28.1784944834 158.417334463
9.92200932008 50.5346588433 37.8511871052 12.1522267282 27.5586711057 142.758830026
7.33777992385 59.3863045186 46.276156381 13.2617532569 30.7596228263 161.493479108
7.28288269583 50.258129596 32.8440238568 13.8791226153 21.5087632734 128.085492579
5.3329251157 48.5591002928 40.9104152361 20.3189955084 27.19095392 145.626137303
9.78600857099 51.9718316987 49.0800379735 21.4463547496 26.1308188594 158.486135498
5.39750811294 51.7089355613 50.049843107 31.1833576103 29.6014882499 169.683250623
9.41571767562 49.6928951171 53.0512404802 19.4800644159 25.5578672405 158.425927665
8.38517550618 50.7333080218 29.842016679 18.9993530886 26.0159262438 136.171633989
7.07797092831 51.826068657 59.7548727671 22.9409046476 25.2231353497 168.926174377
5.00333090971 56.8271114118 57.9017384825 17.697600525 24.952769567 166.145040051
6.51431169305 45.7013711646 51.4832419204 19.6507363391 18.4032685435 142.168462555
6.45396685165 44.2190773225 54.4148239633 12.2995316855 29.3482793329 148.514456415
6.57282589911 60.8846201172 49.7691351702 14.2095680426 30.574136756 163.832367309
5.4856368502 50.5304245685 46.8695026076 25.6502802442 26.2878084616 157.298209909
5.6213094155 47.4399649715 61.0787485892 14.0815592021 24.2454184797 155.640296414
6.14778004022 44.4340364275 44.0823865854 19.5515139882 24.3366864607 143.346645789
7.63785255103 53.4834370602 57.7516279738 27.1789946609 19.9013368017 169.600560274
5.20893634715 52.5603215199 55.7954441861 26.9199316181 26.5532032966 169.727907093
9.88127077286 55.1083947966 51.338432746 11.2578290378 27.9569228284 157.185205214
5.71778873011 57.3734875943 55.7243911812 15.4802818926 29.1137698223 164.699685188
9.60103453319 50.7785465104 47.6173739088 19.918584273 22.077093787 152.989929231
8.72956674085 49.3244763721 41.6929267926 24.1718388301 27.5852961392 156.345532406
8.73589367601 45.2399575551 49.7597685903 9.28227980645 28.1854784381 143.845281283
7.07813582242 56.2604658134 36.4864397624 15.6139636636 25.7815745317 144.831868836
5.1243758585 45.2451943729 55.3703545569 18.7284405715 25.9895971008 152.071940094
9.78318753196 49.0336636743 32.1421256779 18.8689872858 29.0276591495 139.646072461
8.8510086851 43.0666715245 41.3860421164 14.7914722574 24.7495435587 134.544856846
6.5958949301 50.2609802803 55.050605476 17.9204617196 26.2077510387 158.904970668
7.41868489909 58.841573302 48.7899073514 23.3953314214 26.7447706018 166.258269412
5.01988366164 45.9186490744 35.0827210343 27.8504676434 22.2947125877 138.38097019
9.83595313804 51.5368812076 52.9119549125 23.5205754739 26.5394204412 166.866243811
8.19666769092 51.8289880325 38.336340422 12.5417670705 22.3604704658 137.604818807
8.1958191794 49.4851822235 45.5642415086 28.0354599707 21.0461892297 155.307928744
8.4340761872 52.4315124311 37.9748598043 22.050476487 27.0176073793 149.336657389
5.40887046406 48.0578811201 33.9836020705 21.8408377588 30.8045733206 142.708717071
8.01327281157 44.2509237417 40.9035166642 17.7574788328 27.4655579391 140.186576347
8.40711832187 44.3789906306 48.1831186707 28.6917136928 18.7316438298 152.852576158
8.40685870784 46.2890016926 39.8829102494 17.8769704445 20.0631027312 132.61536846
5.90806965353 46.9327986195 63.0348985814 11.1418844572 20.1229101133 148.504072706
9.93017261639 45.7238836492 76.5061855786 24.8313247972 29.0445016722 186.45957666
8.9587738344 46.7251122594 66.6165557888 22.6624607887 25.8510529985 175.358294039
9.87662088469 49.8267857353 61.3010724887 21.6298922101 20.4280958581 166.111677873
7.63945686232 44.3865664119 44.6255537963 12.1017253822 26.7425195218 138.062047971
5.83305714159 54.6961589046 45.7287443037 9.04516845222 25.0656243212 140.457571415
5.95273442653 45.6036986115 40.7916932381 24.2964290871 21.2018057834 142.718427634
5.88714141483 52.5125082661 53.0785934561 14.675424846 27.4788418835 157.05767526
9.70125639969 51.6104641642 57.2793254764 25.1180604199 17.3145284409 165.063404163
8.69680183561 42.7099360322 73.110539712 12.1731193643 22.9942858899 160.768417448
7.70381159728 44.2106049612 42.550807441 27.6158217933 25.0382817227 149.626490425
6.37918361713 50.8171931058 46.5503239912 16.3847341363 30.4482694728 154.660259986
7.39962392659 43.0427243896 70.0063775598 16.0199195123 21.6192196654 159.4999352
8.2917451163 52.4659691731 42.1326992206 17.2494718018 25.3377769836 145.741782914
8.12896828702 48.5379491661 53.6867493786 13.0456764101 23.1065243722 150.643732493
9.70705740615 57.9183819381 36.819509593 15.156646598 24.6874333222 148.456059346
7.96643626194 45.9434604245 46.3644012611 22.0679276873 29.3298395175 156.097284766
5.02348533684 45.9078035675 49.5822063615 26.1276086622 18.7907335445 150.188219528
7.87108489915 54.5664557008 62.3577995029 20.5537085031 19.7922097542 169.508853118
9.24240948394 51.0114154016 49.1799313033 14.8308670481 25.3519521247 151.138199031
8.871099253 53.9620017755 44.804386401 14.7284111787 29.6162736188 154.492997073
8.78913086771 53.1651743789 68.7999762143 11.3498560581 36.5592755643 181.927423874
5.02504036832 44.4761838545 63.0892973113 11.18086555 26.94734307 153.861774156
7.43393136332 46.1734614768 76.3165348314 14.7502909028 25.285816664 170.78305145
9.32894660293 46.31898563 56.9896863513 27.442662158 29.3908971534 172.109627025
7.51373802042 43.4990514276 63.2822786962 14.373105143 27.3694741378 157.380525984
8.97274249613 50.8982898107 41.6748815307 17.0753315623 18.4482817089 140.593281323
6.48248445141 45.4432364772 18.0454770448 24.6963421242 26.4725664973 124.553497252
8.59744652518 43.3789623751 58.0839798425 23.6401026222 20.6804229129 159.260185295
6.28075255873 54.6538783611 50.8434924839 27.8467472702 27.4622109864 169.712026614
