2016-08-07 18:54:53,338 [main]  INFO RootsEnvironment Initializing Roots environment.
2016-08-07 18:54:53,355 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/elk.properties
2016-08-07 18:54:53,375 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/default.properties
2016-08-07 18:54:53,499 [main]  INFO FileConfigLoader Loading benchmark from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/benchmarks/javabook.properties
2016-08-07 18:54:53,513 [main]  INFO BenchmarkingService Scheduled job for: javabook [Benchmark]
2016-08-07 18:54:53,514 [main]  INFO AnomalyLogger Initializing AnomalyLogger
2016-08-07 18:54:53,523 [main]  INFO FileConfigLoader Loading detector from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/detectors/javabook.properties
2016-08-07 18:54:53,529 [main]  INFO AnomalyDetectorService Scheduled job for: javabook [SLOBasedDetector]
2016-08-07 18:54:53,537 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Updating history for javabook (Sun Aug 07 17:53:53 PDT 2016 - Sun Aug 07 18:53:53 PDT 2016)
2016-08-07 18:54:53,632 [Roots-benchmark-scheduler_Worker-1] DEBUG Benchmark Benchmark result for javabook [GET /]: 19 ms
2016-08-07 18:54:53,678 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Calculating SLO with 177 data points.
2016-08-07 18:54:53,683 [Roots-anomaly-detector-scheduler_Worker-1]  INFO SLOBasedDetector SLO metrics. Supported: 83.61581920903954, Expected: 95.0
2016-08-07 18:54:53,688 [Roots-event-bus-0]  WARN AnomalyLogger Anomaly (8452c245-1f8d-4435-956b-f12079b04ccd, javabook, GET /): Detected at Sun Aug 07 18:53:53 PDT 2016: SLA satisfaction: 83.6158
2016-08-07 18:54:53,689 [Roots-event-bus-2] DEBUG WorkloadAnalyzerService Loading workload history from: Sun Aug 07 16:53:53 PDT 2016, to: Sun Aug 07 18:53:53 PDT 2016
2016-08-07 18:54:53,718 [Roots-event-bus-2] DEBUG WorkloadAnalyzerService Workload data: [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2016-08-07 18:54:53,884 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Received 412 requests for analysis
2016-08-07 18:54:55,045 [Roots-event-bus-2]  INFO WorkloadAnalyzerService Anomaly (8452c245-1f8d-4435-956b-f12079b04ccd, javabook, GET /): Workload level shift at Sun Aug 07 18:37:53 PDT 2016: 3.951923076923077 --> 0.0625
2016-08-07 18:54:55,045 [Roots-event-bus-2]  INFO WorkloadAnalyzerService Anomaly (8452c245-1f8d-4435-956b-f12079b04ccd, javabook, GET /): Net change in workload: 3.951923076923077 --> 0.0625 [-98.41849148418493%]
2016-08-07 18:54:55,235 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 13.0, 19.0]
2016-08-07 18:54:55,238 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 11.0, 19.0]
2016-08-07 18:54:55,239 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 12.0, 19.0]
2016-08-07 18:54:55,240 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 20.0]
