2016-08-12 15:23:55,469 [main]  INFO RootsEnvironment Initializing Roots environment.
2016-08-12 15:23:55,487 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/elk.properties
2016-08-12 15:23:55,508 [main]  INFO FileConfigLoader Loading data store from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/dataStores/default.properties
2016-08-12 15:23:55,633 [main]  INFO FileConfigLoader Loading benchmark from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/benchmarks/javabook.properties
2016-08-12 15:23:55,658 [main]  INFO BenchmarkingService Scheduled job for: javabook [Benchmark]
2016-08-12 15:23:55,658 [main]  INFO AnomalyLogger Initializing AnomalyLogger
2016-08-12 15:23:55,670 [main]  INFO FileConfigLoader Loading detector from: /home/ubuntu/roots-1.0.0-SNAPSHOT/conf/detectors/javabook.properties
2016-08-12 15:23:55,677 [main]  INFO AnomalyDetectorService Scheduled job for: javabook [SLOBasedDetector]
2016-08-12 15:23:55,686 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Updating history for javabook (Fri Aug 12 14:22:55 PDT 2016 - Fri Aug 12 15:22:55 PDT 2016)
2016-08-12 15:23:55,782 [Roots-benchmark-scheduler_Worker-1] DEBUG Benchmark Benchmark result for javabook [GET /]: 21 ms
2016-08-12 15:23:55,816 [Roots-anomaly-detector-scheduler_Worker-1] DEBUG SLOBasedDetector Calculating SLO with 205 data points.
2016-08-12 15:23:55,821 [Roots-anomaly-detector-scheduler_Worker-1]  INFO SLOBasedDetector SLO metrics. Supported: 88.78048780487805, Expected: 95.0
2016-08-12 15:23:55,826 [Roots-event-bus-0]  WARN AnomalyLogger Anomaly (4efbb12c-e623-47af-be33-5da4607eb63d, javabook, GET /): Detected at Fri Aug 12 15:22:55 PDT 2016: SLA satisfaction: 88.7805
2016-08-12 15:23:55,830 [Roots-event-bus-2] DEBUG WorkloadAnalyzerService Loading workload history from: Fri Aug 12 13:22:55 PDT 2016, to: Fri Aug 12 15:22:55 PDT 2016
2016-08-12 15:23:55,851 [Roots-event-bus-2] DEBUG WorkloadAnalyzerService Workload data: [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2016-08-12 15:23:56,055 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Received 445 requests for analysis
2016-08-12 15:23:56,144 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Cutoff limit on local: 11.766850844197455
2016-08-12 15:23:57,257 [Roots-event-bus-2]  INFO WorkloadAnalyzerService Anomaly (4efbb12c-e623-47af-be33-5da4607eb63d, javabook, GET /): Workload level shift at Fri Aug 12 15:13:55 PDT 2016: 4.0 --> 0.1111111111111111
2016-08-12 15:23:57,257 [Roots-event-bus-2]  INFO WorkloadAnalyzerService Anomaly (4efbb12c-e623-47af-be33-5da4607eb63d, javabook, GET /): Net change in workload: 4.0 --> 0.1111111111111111 [-97.22222222222221%]
2016-08-12 15:23:57,425 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [0.0, 14.0, 22.0]
2016-08-12 15:23:57,428 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 12.0, 20.0]
2016-08-12 15:23:57,429 [Roots-event-bus-1] DEBUG RelativeImportanceBasedFinder Response time vector: [1.0, 14.0, 26.0]
