01:27:15 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
01:27:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:27:21 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:27:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:27:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:27:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:27:33 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:27:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:27:39 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:27:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:27:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:27:48 PM  1000     29330   12.00    1.33    0.00   13.33     0  java
01:27:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:27:54 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:27:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:28:09 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:28:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:28:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:28:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:28:30 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:28:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:28:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:45 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:28:48 PM  1000     29330   22.00    1.67    0.00   23.67     0  java
01:28:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:28:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:28:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:00 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:29:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:09 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:29:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:15 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:29:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:36 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:29:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:29:48 PM  1000     29330    9.67    0.67    0.00   10.33     0  java
01:29:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:29:54 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:29:57 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:30:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:30:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:15 PM  1000     29330    0.00    0.67    0.00    0.67     0  java
01:30:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:30:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:30 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:30:33 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:30:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:30:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:30:48 PM  1000     29330    9.00    0.67    0.00    9.67     0  java
01:30:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:30:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:30:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:03 PM  1000     29330    0.67    0.00    0.00    0.67     0  java
01:31:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:30 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:39 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:31:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:48 PM  1000     29330    6.33    0.67    0.00    7.00     0  java
01:31:51 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:31:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:31:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:03 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:32:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:21 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:24 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:32:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:33 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:32:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:32:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:48 PM  1000     29330    8.33    1.00    0.00    9.33     0  java
01:32:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:32:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:03 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:33:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:12 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:21 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:33:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:30 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:39 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:33:42 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:33:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:48 PM  1000     29330    8.33    1.00    0.00    9.33     0  java
01:33:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:33:57 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:34:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:06 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:12 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:30 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:34:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:34:45 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:34:48 PM  1000     29330   25.67    1.67    0.00   27.33     0  java
01:34:51 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:34:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:34:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:03 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:35:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:12 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:35:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:18 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:21 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:24 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:35:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:39 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:35:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:48 PM  1000     29330    6.00    0.67    0.00    6.67     0  java
01:35:51 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:35:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:35:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:36:03 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:36:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:36:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:36:21 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:36:24 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:36:27 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:36:36 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:39 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:36:42 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:36:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:48 PM  1000     29330    6.00    0.33    0.00    6.33     0  java
01:36:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:36:54 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:36:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:03 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:37:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:09 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:12 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:37:15 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:36 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:37:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:45 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:37:48 PM  1000     29330    7.00    0.33    0.00    7.33     0  java
01:37:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:37:54 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:37:57 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:09 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:38:12 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:18 PM  1000     29330    0.33    0.33    0.00    0.67     0  java
01:38:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:24 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:30 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:33 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:36 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:38:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:42 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:45 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:48 PM  1000     29330    4.67    1.00    0.00    5.67     0  java
01:38:51 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:38:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:38:57 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:00 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:03 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:06 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:09 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:12 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:15 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:18 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:21 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:24 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:27 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:30 PM  1000     29330    0.00    0.33    0.00    0.33     0  java
01:39:33 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:36 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:39 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:42 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:39:45 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:48 PM  1000     29330    4.67    0.67    0.00    5.33     0  java
01:39:51 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:54 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:39:57 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
01:40:00 PM  1000     29330    0.00    0.00    0.00    0.00     0  java
01:40:03 PM  1000     29330    0.33    0.00    0.00    0.33     0  java
