11:19:52 AM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
11:19:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:19:58 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:20:01 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:20:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:07 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:20:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:13 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:20:16 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:22 AM  1000     27717    9.33    0.67    0.00   10.00     1  java
11:20:25 AM  1000     27717   48.00    3.33    0.00   51.33     1  java
11:20:28 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:20:37 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:20:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:43 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:20:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:49 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:52 AM  1000     27717    0.67    0.00    0.00    0.67     1  java
11:20:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:20:58 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:01 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:21:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:07 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:10 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:16 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:21:19 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:22 AM  1000     27717    2.67    0.67    0.00    3.33     1  java
11:21:25 AM  1000     27717   52.33    7.67    0.00   60.00     1  java
11:21:28 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:31 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:21:34 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:37 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:46 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:49 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:21:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:21:55 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:21:58 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:04 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:22:07 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:22:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:16 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:22:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:22 AM  1000     27717    9.33    0.33    0.00    9.67     1  java
11:22:25 AM  1000     27717   83.33    5.67    0.00   89.00     1  java
11:22:28 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:22:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:34 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:22:37 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:40 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:22:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:49 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:22:52 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:22:55 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:22:58 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:01 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:23:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:07 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:10 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:23:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:16 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:23:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:22 AM  1000     27717    4.00    0.67    0.00    4.67     1  java
11:23:25 AM  1000     27717   41.33    4.67    0.00   46.00     1  java
11:23:28 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:34 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:23:37 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:23:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:46 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:23:49 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:23:52 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:23:58 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:04 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:07 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:24:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:16 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:22 AM  1000     27717    4.33    1.67    0.00    6.00     1  java
11:24:25 AM  1000     27717   61.33    4.33    0.00   65.67     1  java
11:24:28 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:34 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:37 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:40 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:43 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:49 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:24:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:24:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:24:58 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:07 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:13 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:16 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:19 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:22 AM  1000     27717    1.67    0.33    0.00    2.00     1  java
11:25:25 AM  1000     27717   49.00    5.00    0.00   54.00     1  java
11:25:28 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:31 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:34 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:25:37 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:40 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:43 AM  1000     27717    0.00    0.33    0.00    0.33     1  java
11:25:46 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:49 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:52 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:25:55 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:25:58 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:26:01 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:04 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:07 AM  1000     27717    0.33    0.00    0.00    0.33     1  java
11:26:10 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:13 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:16 AM  1000     27717    0.33    0.33    0.00    0.67     1  java
11:26:19 AM  1000     27717    0.00    0.00    0.00    0.00     1  java
11:26:22 AM  1000     27717    1.33    1.33    0.00    2.67     1  java
11:26:25 AM  1000     27717   60.67    5.00    0.00   65.67     1  java
