Linux 3.13.0-85-generic (euca-10-2-122-221) 	09/12/2016 	_x86_64_	(4 CPU)

01:31:52 AM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
01:31:55 AM  1000     15925   24.33    1.33    0.00   25.67     0  java
01:31:58 AM  1000     15925   26.67    1.00    0.00   27.67     0  java
01:32:01 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:32:04 AM  1000     15925   19.00    1.00    0.00   20.00     0  java
01:32:07 AM  1000     15925   28.00    0.00    0.00   28.00     0  java
01:32:10 AM  1000     15925    2.33    0.33    0.00    2.67     0  java
01:32:13 AM  1000     15925   44.67    0.67    0.00   45.33     0  java
01:32:16 AM  1000     15925   11.67    0.33    0.00   12.00     0  java
01:32:19 AM  1000     15925    3.33    0.00    0.00    3.33     0  java
01:32:22 AM  1000     15925   21.33    0.67    0.00   22.00     0  java
01:32:25 AM  1000     15925    0.33    0.00    0.00    0.33     0  java
01:32:28 AM  1000     15925   10.33    0.33    0.00   10.67     0  java
01:32:31 AM  1000     15925   11.00    1.00    0.00   12.00     0  java
01:32:34 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:32:37 AM  1000     15925   18.67    1.00    0.00   19.67     0  java
01:32:40 AM  1000     15925    8.33    0.67    0.00    9.00     0  java
01:32:43 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:32:46 AM  1000     15925    7.00    0.67    0.00    7.67     0  java
01:32:49 AM  1000     15925   22.33    0.67    0.00   23.00     0  java
01:32:52 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:32:55 AM  1000     15925   15.67    0.00    0.00   15.67     0  java
01:32:58 AM  1000     15925    4.67    0.33    0.00    5.00     0  java
01:33:01 AM  1000     15925    1.00    0.00    0.00    1.00     0  java
01:33:04 AM  1000     15925    1.67    0.67    0.00    2.33     0  java
01:33:07 AM  1000     15925   15.33    1.00    0.00   16.33     0  java
01:33:10 AM  1000     15925  145.33    6.67    0.00  152.00     0  java
01:33:13 AM  1000     15925  222.67    7.33    0.00  230.00     0  java
01:33:16 AM  1000     15925  226.33    8.67    0.00  235.00     0  java
01:33:19 AM  1000     15925  133.67    8.00    0.00  141.67     0  java
01:33:22 AM  1000     15925  148.00    8.67    0.00  156.67     0  java
01:33:25 AM  1000     15925  135.00    7.00    0.00  142.00     0  java
01:33:28 AM  1000     15925  122.67    7.33    0.00  130.00     0  java
01:33:31 AM  1000     15925   96.67    9.33    0.00  106.00     0  java
01:33:34 AM  1000     15925   71.67    5.67    0.00   77.33     0  java
01:33:37 AM  1000     15925    1.67    0.33    0.00    2.00     0  java
01:33:40 AM  1000     15925   23.33    2.00    0.00   25.33     0  java
01:33:43 AM  1000     15925   33.67    2.67    0.00   36.33     0  java
01:33:46 AM  1000     15925   20.67    2.67    0.00   23.33     0  java
01:33:49 AM  1000     15925    1.67    0.33    0.00    2.00     0  java
01:33:52 AM  1000     15925   32.33    1.67    0.00   34.00     0  java
01:33:55 AM  1000     15925   20.67    1.33    0.00   22.00     0  java
01:33:58 AM  1000     15925    6.00    0.67    0.00    6.67     0  java
01:34:01 AM  1000     15925   18.33    0.67    0.00   19.00     0  java
01:34:04 AM  1000     15925   19.33    2.00    0.00   21.33     0  java
01:34:07 AM  1000     15925   20.33    2.00    0.00   22.33     0  java
01:34:10 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:34:13 AM  1000     15925   63.67    6.00    0.00   69.67     0  java
01:34:16 AM  1000     15925    5.33    0.67    0.00    6.00     0  java
01:34:19 AM  1000     15925   13.33    1.33    0.00   14.67     0  java
01:34:22 AM  1000     15925   26.33    2.33    0.00   28.67     0  java
01:34:25 AM  1000     15925   12.67    1.67    0.00   14.33     0  java
01:34:28 AM  1000     15925   10.00    1.33    0.00   11.33     0  java
01:34:31 AM  1000     15925    7.33    1.33    0.00    8.67     0  java
01:34:34 AM  1000     15925   17.00    0.67    0.00   17.67     0  java
01:34:37 AM  1000     15925   20.27    1.99    0.00   22.26     0  java
01:34:40 AM  1000     15925    3.00    0.33    0.00    3.33     0  java
01:34:43 AM  1000     15925   20.67    2.67    0.00   23.33     0  java
01:34:46 AM  1000     15925   20.00    1.67    0.00   21.67     0  java
01:34:49 AM  1000     15925    2.33    0.67    0.00    3.00     0  java
01:34:52 AM  1000     15925   20.67    2.33    0.00   23.00     0  java
01:34:55 AM  1000     15925   18.00    1.67    0.00   19.67     0  java
01:34:58 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:35:01 AM  1000     15925   17.33    0.67    0.00   18.00     0  java
01:35:05 AM  1000     15925   17.28    1.33    0.00   18.60     0  java
01:35:08 AM  1000     15925    8.67    0.33    0.00    9.00     0  java
01:35:11 AM  1000     15925   14.33    3.00    0.00   17.33     0  java
01:35:14 AM  1000     15925   81.67    8.00    0.00   89.67     0  java
01:35:17 AM  1000     15925   98.33   10.33    0.00  108.67     0  java
01:35:20 AM  1000     15925   95.00   10.67    0.00  105.67     0  java
01:35:23 AM  1000     15925   96.00    9.67    0.00  105.67     0  java
01:35:26 AM  1000     15925   94.33   11.00    0.00  105.33     0  java
01:35:29 AM  1000     15925  101.67    8.67    0.00  110.33     0  java
01:35:32 AM  1000     15925   94.00    8.33    0.00  102.33     0  java
01:35:35 AM  1000     15925   99.00    9.00    0.00  108.00     0  java
01:35:38 AM  1000     15925   92.36    8.31    0.00  100.66     0  java
01:35:41 AM  1000     15925   97.67    8.00    0.00  105.67     0  java
01:35:44 AM  1000     15925    9.33    0.67    0.00   10.00     0  java
01:35:47 AM  1000     15925   23.33    2.67    0.00   26.00     0  java
01:35:50 AM  1000     15925   21.67    2.67    0.00   24.33     0  java
01:35:53 AM  1000     15925    1.67    0.33    0.00    2.00     0  java
01:35:56 AM  1000     15925   16.67    2.00    0.00   18.67     0  java
01:35:59 AM  1000     15925    3.67    0.67    0.00    4.33     0  java
01:36:02 AM  1000     15925   15.00    1.33    0.00   16.33     0  java
01:36:05 AM  1000     15925   17.33    1.33    0.00   18.67     0  java
01:36:08 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:36:11 AM  1000     15925   19.33    2.00    0.00   21.33     0  java
01:36:14 AM  1000     15925    3.33    1.00    0.00    4.33     0  java
01:36:17 AM  1000     15925    9.33    1.00    0.00   10.33     0  java
01:36:20 AM  1000     15925   91.67    8.33    0.00  100.00     0  java
01:36:23 AM  1000     15925   91.33    9.00    0.00  100.33     0  java
01:36:26 AM  1000     15925   43.33    2.33    0.00   45.67     0  java
01:36:29 AM  1000     15925   27.67    2.00    0.00   29.67     0  java
01:36:32 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:36:35 AM  1000     15925   32.00    2.00    0.00   34.00     0  java
01:36:38 AM  1000     15925   21.00    2.33    0.00   23.33     0  java
01:36:41 AM  1000     15925    3.33    0.33    0.00    3.67     0  java
01:36:44 AM  1000     15925   24.33    2.67    0.00   27.00     0  java
01:36:47 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:36:50 AM  1000     15925   24.67    1.33    0.00   26.00     0  java
01:36:53 AM  1000     15925   18.67    2.67    0.00   21.33     0  java
01:36:56 AM  1000     15925    3.00    0.67    0.00    3.67     0  java
01:36:59 AM  1000     15925   22.00    1.33    0.00   23.33     0  java
01:37:02 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:37:05 AM  1000     15925   19.00    3.00    0.00   22.00     0  java
01:37:08 AM  1000     15925   22.67    2.00    0.00   24.67     0  java
01:37:11 AM  1000     15925    0.67    0.00    0.00    0.67     0  java
01:37:14 AM  1000     15925   17.67    1.33    0.00   19.00     0  java
01:37:17 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:37:20 AM  1000     15925   24.33    2.33    0.00   26.67     0  java
01:37:23 AM  1000     15925   87.33   10.00    0.00   97.33     0  java
01:37:26 AM  1000     15925   94.00    8.67    0.00  102.67     0  java
01:37:29 AM  1000     15925   99.33    8.67    0.00  108.00     0  java
01:37:32 AM  1000     15925   96.33    9.33    0.00  105.67     0  java
01:37:35 AM  1000     15925  100.67   12.00    0.00  112.67     0  java
01:37:38 AM  1000     15925   92.00   10.33    0.00  102.33     0  java
01:37:41 AM  1000     15925   99.00    9.67    0.00  108.67     0  java
01:37:44 AM  1000     15925   84.33    9.67    0.00   94.00     0  java
01:37:47 AM  1000     15925   23.00    2.33    0.00   25.33     0  java
01:37:50 AM  1000     15925   29.33    3.00    0.00   32.33     0  java
01:37:53 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:37:56 AM  1000     15925   22.00    2.00    0.00   24.00     0  java
01:37:59 AM  1000     15925    8.00    0.67    0.00    8.67     0  java
01:38:02 AM  1000     15925   10.00    0.67    0.00   10.67     0  java
01:38:05 AM  1000     15925   21.33    1.67    0.00   23.00     0  java
01:38:08 AM  1000     15925    0.33    0.00    0.00    0.33     0  java
01:38:11 AM  1000     15925   20.67    2.33    0.00   23.00     0  java
01:38:14 AM  1000     15925   19.00    1.33    0.00   20.33     0  java
01:38:17 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:38:20 AM  1000     15925   18.33    1.00    0.00   19.33     0  java
01:38:23 AM  1000     15925   37.00    4.00    0.00   41.00     0  java
01:38:26 AM  1000     15925   92.67    9.00    0.00  101.67     0  java
01:38:29 AM  1000     15925   93.33    9.33    0.00  102.67     0  java
01:38:32 AM  1000     15925   59.33    6.33    0.00   65.67     0  java
01:38:35 AM  1000     15925   21.67    2.67    0.00   24.33     0  java
01:38:38 AM  1000     15925    9.33    1.00    0.00   10.33     0  java
01:38:41 AM  1000     15925   26.67    2.67    0.00   29.33     0  java
01:38:44 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:38:47 AM  1000     15925   25.00    2.67    0.00   27.67     0  java
01:38:50 AM  1000     15925   18.00    2.33    0.00   20.33     0  java
01:38:53 AM  1000     15925    0.00    0.33    0.00    0.33     0  java
01:38:56 AM  1000     15925   19.00    2.67    0.00   21.67     0  java
01:38:59 AM  1000     15925   12.67    1.67    0.00   14.33     0  java
01:39:02 AM  1000     15925    1.67    0.67    0.00    2.33     0  java
01:39:05 AM  1000     15925   12.67    1.33    0.00   14.00     0  java
01:39:08 AM  1000     15925    0.33    0.00    0.00    0.33     0  java
01:39:11 AM  1000     15925   20.67    2.00    0.00   22.67     0  java
01:39:14 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:39:17 AM  1000     15925   17.67    1.67    0.00   19.33     0  java
01:39:20 AM  1000     15925   17.00    1.33    0.00   18.33     0  java
01:39:23 AM  1000     15925   49.67    4.67    0.00   54.33     0  java
01:39:26 AM  1000     15925   99.33    7.33    0.00  106.67     0  java
01:39:29 AM  1000     15925  101.33    8.67    0.00  110.00     0  java
01:39:32 AM  1000     15925   97.67    9.00    0.00  106.67     0  java
01:39:35 AM  1000     15925  103.67    8.67    0.00  112.33     0  java
01:39:38 AM  1000     15925   87.00    9.00    0.00   96.00     0  java
01:39:41 AM  1000     15925   91.00   11.00    0.00  102.00     0  java
01:39:44 AM  1000     15925   96.33    7.67    0.00  104.00     0  java
01:39:47 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:39:50 AM  1000     15925   27.00    2.33    0.00   29.33     0  java
01:39:53 AM  1000     15925   20.33    2.33    0.00   22.67     0  java
01:39:56 AM  1000     15925    4.67    0.33    0.00    5.00     0  java
01:39:59 AM  1000     15925   24.33    2.00    0.00   26.33     0  java
01:40:02 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:40:05 AM  1000     15925   21.67    2.00    0.00   23.67     0  java
01:40:08 AM  1000     15925   21.67    2.33    0.00   24.00     0  java
01:40:11 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:40:14 AM  1000     15925   12.67    1.00    0.00   13.67     0  java
01:40:17 AM  1000     15925   22.00    0.67    0.00   22.67     0  java
01:40:20 AM  1000     15925    0.00    0.00    0.00    0.00     0  java
01:40:23 AM  1000     15925   20.67    2.33    0.00   23.00     0  java
01:40:26 AM  1000     15925   35.00    3.00    0.00   38.00     0  java
01:40:29 AM  1000     15925   93.36   10.63    0.00  103.99     0  java
01:40:32 AM  1000     15925   95.33    7.33    0.00  102.67     0  java
01:40:35 AM  1000     15925   89.33   10.67    0.00  100.00     0  java
